Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
1998,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,23.66,1.73,1.09,,,0.0,40.55,2.03
1999,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,7.18,1.38,0.17,,,0.0,30.74,18.27
2000,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,15.39,6.95,1.79,,,0.06,50.12,-1.44
2001,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,3.77,0.56,0.73,,,0.16,49.66,0.89
2002,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,1.48,0.69,5.93,,,0.1,41.36,-0.9
2003,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,78.28,11.97,71.68,20.75,1.48,,252.22,-7.67
2004,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,237.37,73.84,278.06,27.85,,162.84,615.93,59.89
2005,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,322.75,75.16,310.9,24.1,,191.18,711.74,74.08
2006,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,484.45,203.71,356.5,,,130.4,954.81,56.77
2007,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,3316.83,384.75,464.36,126.79,6.95,594.9,3964.25,77.89
2008,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,3000.98,440.88,637.24,127.11,67.15,1352.02,5468.34,113.56
2009,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,1464.8,463.23,842.46,115.49,125.27,1177.96,4671.07,12.4
2010,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,1573.0,66.96,330.9,35.64,30.69,789.5,4338.05,89.53
2011,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,1087.04,509.68,242.34,8.58,32.35,639.2,3263.39,-83.01
2012,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,698.65,103.92,265.27,19.96,59.46,603.46,2233.07,51.82
2013,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,838.91,114.81,314.95,11.36,59.43,604.62,2317.36,111.18
2014,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,1031.82,120.51,396.52,53.02,53.79,867.22,2623.89,51.94
2015,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,1013.53,188.58,322.87,116.48,57.95,836.34,2563.15,110.54
2016,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,856.86,87.25,244.95,34.18,42.27,819.58,2363.01,75.03
2017,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,1083.75,103.37,339.72,92.48,28.89,901.94,2559.15,6.93
2018,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,1161.89,120.2,531.99,,,445.69,2562.26,29.47
2019,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,550.18,49.24,639.67,415.47,27.1,2180.64,2200.33,-20.75
2020,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,308.66,9.3,335.01,154.26,26.66,1291.02,1493.83,72.64
2021,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,544.66,58.08,437.12,207.86,37.48,774.3,1465.18,90.35
2022,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,683.66,123.38,222.66,18.77,39.36,817.26,1674.95,304.02
2023,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,793.69,181.78,268.09,30.94,49.63,838.82,1815.8,109.27
2024,AFAGR.HE,Afarak Group SE,Metals & Mining,Materials,680.12,45.47,210.26,26.59,6.07,1104.32,1901.56,-73.15
