Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2012,BACTIb.ST,Bactiguard Holding AB,Healthcare Equipment & Supplies,Health Care,68.01,6.55,43.67,4.7,,14.98,602.33,-35.16
2013,BACTIb.ST,Bactiguard Holding AB,Healthcare Equipment & Supplies,Health Care,106.75,5.11,98.37,54.15,,18.38,675.96,-40.68
2014,BACTIb.ST,Bactiguard Holding AB,Healthcare Equipment & Supplies,Health Care,200.37,100.78,127.98,0.0,,30.46,777.47,-32.83
2015,BACTIb.ST,Bactiguard Holding AB,Healthcare Equipment & Supplies,Health Care,104.29,23.15,234.47,0.0,,32.19,707.73,-19.88
2016,BACTIb.ST,Bactiguard Holding AB,Healthcare Equipment & Supplies,Health Care,67.48,14.84,135.85,94.83,,24.4,599.41,-12.19
2017,BACTIb.ST,Bactiguard Holding AB,Healthcare Equipment & Supplies,Health Care,78.1,11.56,40.83,7.5,,35.74,625.79,5.92
2018,BACTIb.ST,Bactiguard Holding AB,Healthcare Equipment & Supplies,Health Care,83.02,1.85,54.1,14.05,,29.07,573.3,0.81
2019,BACTIb.ST,Bactiguard Holding AB,Healthcare Equipment & Supplies,Health Care,91.21,21.45,158.8,118.99,,89.17,601.39,50.23
2020,BACTIb.ST,Bactiguard Holding AB,Healthcare Equipment & Supplies,Health Care,116.27,10.32,37.19,0.0,,112.95,705.07,0.72
2021,BACTIb.ST,Bactiguard Holding AB,Healthcare Equipment & Supplies,Health Care,312.1,211.99,60.61,0.0,,98.06,827.44,7.27
2022,BACTIb.ST,Bactiguard Holding AB,Healthcare Equipment & Supplies,Health Care,290.25,186.11,79.26,0.0,,93.78,760.26,2.91
2023,BACTIb.ST,Bactiguard Holding AB,Healthcare Equipment & Supplies,Health Care,199.47,124.05,263.17,179.78,,94.49,666.65,-52.08
2024,BACTIb.ST,Bactiguard Holding AB,Healthcare Equipment & Supplies,Health Care,199.7,120.01,289.53,175.69,,112.24,674.34,25.41
