Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2008,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,397.77,0.61,260.54,203.94,,184.13,720.88,54.14
2009,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,404.72,39.37,156.87,109.54,,,692.34,221.23
2010,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,695.28,9.54,130.65,43.86,,372.52,1238.17,209.69
2011,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,1110.86,17.55,261.26,104.07,,862.22,2395.4,428.85
2012,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,1351.82,24.65,312.65,98.44,,800.08,2530.79,286.84
2013,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,1994.5,203.56,420.34,111.8,63.99,1024.83,3479.36,542.03
2014,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,2428.43,491.82,440.63,121.4,151.47,1264.11,4204.11,983.6
2015,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,2525.6,131.02,532.56,0.0,199.85,1970.09,5043.14,920.94
2016,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,3485.84,287.33,482.7,0.0,173.64,2590.28,6624.8,1060.1
2017,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,2819.9,409.48,1226.19,500.43,262.11,3400.25,6819.9,1829.36
2018,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,3193.04,420.47,502.89,0.0,202.55,3827.06,7699.06,1176.28
2019,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,5839.04,1725.57,1218.79,,257.59,5420.05,17263.49,1366.82
2020,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,5608.84,657.43,1084.43,,52.69,6439.75,18596.89,681.99
2021,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,6152.08,685.57,1086.16,,230.25,6989.46,19696.64,1536.92
2022,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,8062.24,1014.81,1301.99,,335.33,8582.29,23807.03,1631.16
2023,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,8848.64,617.74,1120.96,,315.67,9954.37,26771.78,1566.26
2024,BAKKA.OL,P/F Bakkafrost,Food & Tobacco,Consumer Staples,OBX,8170.42,758.28,1209.59,,294.1,11132.07,27891.33,3669.47
