Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2003,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,14.76,0.9,3.74,,,,26.68,
2004,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,6.44,1.18,2.18,,,,13.48,
2005,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,10.37,0.65,1.8,,,,12.27,
2006,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,7.67,5.37,1.91,,,,8.51,
2007,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,263.23,168.2,1925.89,1786.28,,,3039.37,
2008,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,314.79,9.78,323.68,26.68,11.56,,4172.25,
2009,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,503.27,89.81,174.77,850.38,12.14,,4164.5,
2010,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,1093.25,198.69,1054.2,1126.22,5.21,,5688.35,
2011,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,101.52,86.77,1346.68,1224.34,10.41,,5972.44,
2012,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,120.7,99.3,1533.15,1034.08,4.28,,6143.73,
2013,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,144.2,123.46,860.46,1517.35,6.6,,7288.0,
2014,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,133.23,46.01,2310.95,2074.2,3.83,,8389.77,
2015,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,81.63,41.86,1171.1,2924.1,3.14,,9806.3,
2016,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,42.67,6.64,2476.06,3735.43,32.24,,11491.72,
2017,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,98.06,34.02,2715.75,4006.59,30.02,,13361.63,
2018,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,64.41,13.66,1977.09,6849.56,26.35,,15332.71,
2019,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,1511.51,7.5,2309.46,4385.45,25.32,,16063.1,
2020,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,104.42,15.66,4601.79,7298.96,1.04,,19499.4,
2021,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,1903.74,556.31,16320.14,35889.5,13.64,66.25,89863.57,
2022,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,3307.61,921.5,16524.85,27323.05,5.65,77.18,85525.24,
2023,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,1610.82,431.9,16051.86,12080.17,0.0,68.46,65288.69,
2024,COREa.ST,Corem Property Group AB,Real Estate Operations,Real Estate,1482.51,602.46,19050.61,6026.7,,45.24,63520.89,
