Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,521.57,36.22,814.55,,1.33,,1535.46,117.27
2005,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,560.88,21.18,834.73,,2.47,,1534.08,39.39
2006,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,635.58,67.8,881.81,57.1,2.91,,1494.24,145.4
2007,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,700.47,54.86,860.28,151.45,12.31,,1870.61,84.48
2008,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,719.03,126.0,1186.49,,,,2122.4,103.16
2009,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,480.85,63.84,985.82,,,,1710.3,44.97
2010,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,521.33,43.51,626.5,,1.94,,1746.0,-48.53
2011,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,568.95,70.45,909.71,412.2,4.92,,1739.37,72.77
2012,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,635.73,143.79,1030.67,689.84,8.15,297.16,1935.65,184.52
2013,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,746.61,202.91,870.7,,16.48,330.2,2322.15,115.72
2014,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,1619.87,437.75,2023.49,,,376.02,3421.66,148.67
2015,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,1840.02,553.59,2060.53,1303.68,29.39,349.43,3725.52,256.76
2016,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,2517.03,617.45,1414.7,179.52,58.04,764.16,6431.69,324.63
2017,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,3199.77,679.84,2244.85,786.01,25.92,828.84,7413.69,-61.97
2018,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,3379.5,704.96,2330.45,732.77,29.57,770.15,7550.32,426.56
2019,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,2981.11,614.36,2470.74,372.91,47.91,582.38,8631.56,1243.91
2020,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,3134.48,1150.08,2375.66,81.76,74.56,541.63,9020.95,1765.81
2021,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,3467.36,875.0,2841.87,107.27,106.2,680.24,11496.1,1065.55
2022,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,3980.89,850.9,3015.34,235.22,142.13,769.48,13718.09,1050.48
2023,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,4107.4,1114.09,3707.31,357.7,128.56,899.34,15736.13,1773.38
2024,ELANb.ST,Elanders AB,Freight & Logistics Services,Industrials,STX,4420.81,1169.97,3751.52,485.26,66.83,976.69,17546.51,1440.07
