Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,4006.9,549.47,2424.4,,17.3,5965.86,15352.9,2972.92
2005,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,3950.66,282.65,3164.2,867.1,4.79,5274.46,17584.73,2478.9
2006,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,3252.07,182.59,3264.4,362.71,236.05,5309.08,17197.14,2691.5
2007,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,3965.92,112.59,3536.98,964.92,85.63,5052.94,17249.59,2287.91
2008,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,3631.81,320.37,4200.71,878.59,33.01,6120.98,19712.38,3707.63
2009,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,2824.88,257.11,3548.1,1274.76,53.08,5124.75,16294.04,3761.43
2010,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,2785.71,247.65,5027.83,1762.39,4.67,4760.71,15355.28,2969.91
2011,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,3111.7,456.47,3817.29,2.32,85.1,4778.96,15468.76,3049.07
2012,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,3013.73,292.13,3081.99,35.23,5.87,4522.07,14743.51,2559.76
2013,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,4385.84,1148.99,4666.0,90.05,2.5,5950.07,19380.24,3030.52
2014,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,3866.84,373.31,4305.22,92.2,15.37,6254.91,20277.85,3443.75
2015,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,4008.01,279.36,5463.37,1253.76,27.84,6503.06,21567.42,4139.59
2016,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,5799.47,404.06,5919.32,82.63,0.0,6482.29,22999.92,4518.69
2017,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,5134.24,436.14,5255.33,582.83,0.98,7463.59,25404.38,4672.58
2018,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,5619.63,801.53,5955.5,0.0,16.84,7446.61,26441.6,4948.59
2019,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,5673.1,511.71,4887.82,0.0,3.94,8136.2,27693.4,5453.09
2020,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,7818.38,2305.81,5963.04,2.1,12.57,7701.04,31862.27,6433.93
2021,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,7047.08,1142.31,5265.04,1080.24,29.03,7535.64,30318.77,6053.31
2022,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,7547.62,895.36,7456.41,2995.36,22.02,8038.29,32509.62,5973.49
2023,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,7807.16,709.13,7936.9,3327.55,34.67,9122.52,34948.77,7389.72
2024,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,8787.56,1057.85,10750.29,5679.91,38.83,10290.2,39494.6,7563.2
