Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,59.22,26.95,10.94,,1.47,3.07,74.19,5.4
2005,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,54.78,20.78,15.01,,0.0,3.78,85.0,14.89
2006,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,69.76,16.42,25.76,,0.0,4.12,119.15,17.31
2007,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,66.27,16.44,18.59,,0.0,4.82,128.79,20.65
2008,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,85.18,27.01,34.84,4.8,0.0,5.59,145.38,36.35
2009,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,92.98,29.3,24.8,4.0,,5.83,145.63,32.78
2010,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,97.13,34.93,25.78,3.0,1.02,5.91,145.94,29.43
2011,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,94.02,29.24,29.25,0.0,6.73,6.68,149.63,24.66
2012,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,98.64,26.68,33.23,,7.65,10.94,151.87,26.25
2013,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,104.93,19.85,39.0,,8.1,14.06,168.39,26.04
2014,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,134.96,49.48,51.28,7.08,11.24,15.28,203.49,48.94
2015,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,149.76,48.93,55.87,5.42,12.63,14.16,219.04,42.72
2016,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,146.95,31.07,47.79,3.75,11.09,18.4,217.05,30.47
2017,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,178.73,54.41,57.58,4.88,13.33,25.74,251.07,61.6
2018,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,190.45,47.49,55.38,3.0,11.43,32.2,269.59,55.79
2019,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,228.5,66.75,71.45,9.21,13.65,64.89,336.11,80.33
2020,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,245.79,71.89,59.48,9.88,12.31,64.68,345.82,74.13
2021,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,306.5,129.49,77.6,,20.33,58.86,403.24,128.14
2022,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,385.89,152.64,99.82,,25.87,51.31,482.66,113.49
2023,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,391.57,153.87,94.28,,28.4,57.31,505.72,113.19
2024,MEDI.OL,Medistim ASA,Healthcare Equipment & Supplies,Health Care,429.13,179.21,107.37,,27.38,73.16,574.97,143.1
