Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,MGN.OL,Magnora ASA,Renewable Energy,Energy,72.13,65.34,11.52,,,95.47,199.55,-4.26
2005,MGN.OL,Magnora ASA,Renewable Energy,Energy,663.17,487.81,143.17,,,980.32,1733.0,19.19
2006,MGN.OL,Magnora ASA,Renewable Energy,Energy,1994.51,1927.27,556.22,,,3201.8,5374.17,226.54
2007,MGN.OL,Magnora ASA,Renewable Energy,Energy,1406.24,1210.73,778.25,26.72,,6130.08,8227.91,-914.08
2008,MGN.OL,Magnora ASA,Renewable Energy,Energy,684.19,349.13,1532.22,96.99,,12318.39,13381.66,-896.31
2009,MGN.OL,Magnora ASA,Renewable Energy,Energy,1382.36,944.43,7219.36,6390.15,,11919.45,13607.49,-668.0
2010,MGN.OL,Magnora ASA,Renewable Energy,Energy,1095.29,161.78,3080.92,1094.5,,13925.08,15063.28,-159.5
2011,MGN.OL,Magnora ASA,Renewable Energy,Energy,576.74,10.76,465.58,181.69,,374.73,3476.59,260.52
2012,MGN.OL,Magnora ASA,Renewable Energy,Energy,621.39,339.9,329.89,0.0,,239.21,3770.6,209.92
2013,MGN.OL,Magnora ASA,Renewable Energy,Energy,485.91,249.93,211.11,,,4.25,1000.33,-6.47
2014,MGN.OL,Magnora ASA,Renewable Energy,Energy,582.07,203.99,233.13,,,5.98,1081.95,-66.84
2015,MGN.OL,Magnora ASA,Renewable Energy,Energy,559.56,323.54,314.7,5.3,39.78,5.3,765.53,-4.03
2016,MGN.OL,Magnora ASA,Renewable Energy,Energy,236.1,213.9,77.1,,,1.4,365.5,-116.2
2017,MGN.OL,Magnora ASA,Renewable Energy,Energy,213.6,197.5,34.9,0.0,0.0,0.1,221.2,7.1
2018,MGN.OL,Magnora ASA,Renewable Energy,Energy,107.0,100.3,14.4,,,0.0,150.2,21.3
2019,MGN.OL,Magnora ASA,Renewable Energy,Energy,73.3,58.3,7.6,,,0.0,113.2,25.5
2020,MGN.OL,Magnora ASA,Renewable Energy,Energy,68.4,44.8,6.0,,,0.0,124.1,29.9
2021,MGN.OL,Magnora ASA,Renewable Energy,Energy,104.6,96.9,20.9,,,0.0,192.7,-23.7
2022,MGN.OL,Magnora ASA,Renewable Energy,Energy,287.1,171.9,122.3,76.3,,15.3,564.2,-67.7
2023,MGN.OL,Magnora ASA,Renewable Energy,Energy,380.3,347.6,51.0,0.0,,0.3,604.6,3.0
2024,MGN.OL,Magnora ASA,Renewable Energy,Energy,283.0,254.1,172.6,,,0.5,575.3,-104.9
