Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,7262.3,77.64,7036.7,1077.79,3.65,1624.91,10490.19,491.84
2005,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,8273.34,110.39,6869.68,505.25,,1739.07,11669.12,1096.08
2006,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,10829.76,831.31,10557.51,590.93,84.68,2362.81,15035.46,2774.96
2007,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,10852.24,1019.29,9111.38,234.64,,539.92,12911.01,719.4
2008,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,16305.74,875.0,12530.97,1117.76,272.99,3854.79,23612.51,-254.03
2009,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,14266.25,1281.63,10476.38,1693.47,,3967.88,21533.69,1378.53
2010,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,15551.0,701.93,12013.57,1225.13,87.63,4205.53,23929.96,976.7
2011,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,17787.15,833.87,13183.96,2202.25,250.77,3974.1,27201.78,51.82
2012,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,19078.35,367.24,13978.12,2978.13,97.59,3803.34,27457.18,432.29
2013,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,20861.24,412.8,17105.56,4774.48,107.44,3744.37,30069.03,-157.04
2014,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,18308.34,759.13,15018.76,4364.0599999999995,71.89,3671.06,27207.07,3444.68
2015,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,19589.58,905.28,16179.87,3060.16,47.1,3824.14,29346.69,2701.0
2016,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,20586.1,1007.11,17404.49,2009.49,385.97,4055.96,29975.4,3392.66
2017,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,20912.51,595.38,18190.75,985.6300000000001,311.2,5511.56,32145.76,2749.13
2018,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,25371.38,1342.78,19199.06,1616.02,67.33,5602.41,36415.18,-234.12
2019,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,28693.42,349.75,25236.26,4379.82,104.08,6386.42,40964.62,3734.43
2020,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,28555.76,1010.79,24648.36,4260.34,202.57,7905.64,44027.68,7873.65
2021,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,30981.09,2875.1,25287.4,8622.36,173.42,7476.61,45956.73,2824.22
2022,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,32620.49,1417.55,25536.53,10422.62,156.25,7821.91,48014.88,-1478.43
2023,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,32967.52,1251.41,25007.03,10646.529999999999,118.8,8389.37,49508.66,3897.5
2024,PEABb.ST,Peab AB,Construction & Engineering,Industrials,STX,33799.67,1519.53,23559.84,7856.71,221.04,7868.02,49110.07,5592.47
