Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,123.26,38.86,52.19,,,,139.91,-66.42
2005,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,180.56,59.03,63.19,,,,193.96,-60.0
2006,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,185.66,28.67,112.82,,,,450.13,-46.95
2007,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,219.48,84.2,79.99,,,,447.87,26.32
2008,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,281.12,67.38,85.48,,,,585.88,1.78
2009,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,233.64,83.21,77.78,,,,497.77,46.27
2010,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,302.59,60.62,79.27,,,,555.9,-12.85
2011,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,406.3,51.01,129.33,,,,732.85,5.11
2012,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,386.98,39.09,86.2,,,6.43,692.11,19.9
2013,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,399.33,46.05,99.19,,,6.75,755.06,51.01
2014,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,423.66,50.83,144.35,,,7.74,781.33,12.43
2015,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,470.48,141.97,118.2,,,9.02,841.24,97.02
2016,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,541.03,247.83,183.67,,,10.57,883.15,170.89
2017,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,543.79,166.88,189.88,,,15.92,919.12,-7.9
2018,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,704.39,166.91,329.12,,,21.73,1094.55,78.37
2019,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,600.81,182.12,236.52,,,22.78,1051.11,135.25
2020,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,947.6,274.01,540.77,,,31.61,1456.13,271.07
2021,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,1204.07,16.12,864.83,,,41.58,1686.16,-175.09
2022,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,1397.01,204.7,967.96,,,58.9,1917.58,268.62
2023,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,1443.77,257.29,758.01,,,91.23,2021.68,-75.64
2024,PRICb.ST,Pricer AB,Electronic Equipment & Parts,Information Technology,1789.61,502.94,923.85,257.02,,110.21,2448.31,58.99
