Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,29.52,6.32,16.71,,,1.05,39.48,6.79
2005,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,36.82,12.63,22.26,,,1.95,43.36,14.42
2006,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,41.03,15.5,25.02,,,,48.63,7.85
2007,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,30.25,9.87,20.98,,,,40.37,3.51
2008,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,40.76,16.66,31.42,,,,58.71,12.5
2009,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,38.08,16.0,25.26,,,,57.01,8.32
2010,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,42.71,13.26,31.07,,,,56.46,6.91
2011,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,40.76,7.89,33.28,,,0.91,60.04,9.83
2012,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,33.14,10.31,27.0,,,1.03,50.24,13.28
2013,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,47.78,11.38,43.76,,,1.73,68.05,12.97
2014,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,54.22,12.89,47.96,,,1.58,77.07,13.51
2015,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,49.7,5.62,49.05,,,2.63,77.12,3.63
2016,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,47.07,5.13,41.94,,,1.75,71.47,13.18
2017,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,39.98,3.13,38.71,,,1.51,67.02,9.18
2018,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,38.79,5.0,35.3,,,1.15,63.77,12.82
2019,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,38.76,10.19,41.77,,,3.65,68.95,13.28
2020,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,32.33,1.94,45.18,7.33,,4.05,66.18,3.58
2021,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,31.39,4.42,53.76,15.02,,3.19,58.07,7.03
2022,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,36.37,0.18,66.53,15.95,,1.79,78.02,-17.82
2023,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,28.97,9.89,48.42,5.59,,0.91,65.64,9.68
2024,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,37.42,9.71,54.52,5.88,,0.24,69.5,9.37
