Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2010,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,94.47,41.67,97.42,3470.36,,7.83,4780.62,98.51
2011,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,100.67,52.83,269.83,3275.59,,7.17,4690.51,100.44
2012,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,105.86,29.02,2606.81,659.81,,,3962.41,94.46
2013,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,179.81,20.96,3682.92,290.36,,,5326.0,111.2
2014,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,75.59,29.67,178.99,3122.51,,,5999.36,62.57
2015,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,126.18,39.59,195.9,3748.41,,,7672.72,230.17
2016,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,635.04,512.69,278.76,5629.67,,,10236.55,306.53
2017,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,440.66,271.79,310.68,5985.51,,,11153.89,364.41
2018,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,385.1,243.18,364.03,6060.34,,,10699.42,306.29
2019,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,183.9,86.36,335.0,5972.01,,,11004.93,324.19
2020,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,246.44,138.04,395.76,5385.18,,,10516.8,195.05
2021,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,185.52,65.01,499.91,5769.87,,,11624.79,303.56
2022,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,133.67,2.91,734.48,6100.2,,,12118.64,452.15
2023,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,237.77,95.27,889.74,7339.65,,,14427.2,538.12
2024,REITIR.IC,Reitir fasteignafelag hf,Real Estate Operations,Real Estate,ISX,383.93,176.66,680.85,10071.55,,,18940.3,549.0
