Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2006,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,840.55,77.78,564.54,289.0,,433.32,1079.22,-8.42
2007,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,809.72,33.88,545.52,325.25,,444.89,1025.47,-37.51
2008,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,720.03,42.63,464.69,235.58,,472.31,934.41,147.03
2009,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,756.71,30.84,518.87,279.36,,209.19,984.82,2.2
2010,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,686.5,49.21,407.54,114.66,,224.9,888.5,198.56
2011,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,671.01,81.97,379.04,26.63,,212.93,920.07,218.22
2012,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,806.15,175.86,463.5,50.13,,206.72,1060.21,147.61
2013,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,1087.67,202.25,618.83,65.07,,233.19,1409.66,62.12
2014,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,1455.79,34.32,1071.06,532.9,,316.79,1852.09,-465.13
2015,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,1604.16,58.33,1215.91,638.87,,368.51,2126.23,72.42
2016,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,1459.8,107.09,1148.96,590.05,,335.97,1966.45,139.91
2017,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,1240.9,30.65,843.11,198.19,,334.36,1759.03,372.37
2018,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,1178.76,32.65,812.78,342.89,,312.21,1679.39,-93.77
2019,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,1357.18,7.75,883.75,367.02,,308.56,1784.45,-24.09
2020,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,1497.94,4.61,1106.6,758.1,,351.51,2066.64,-353.5
2021,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,848.89,429.01,313.13,0.0,,286.13,1272.12,1192.09
2022,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,873.86,368.08,355.43,,,272.43,1311.66,-36.71
2023,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,973.35,470.39,288.01,,,275.4,1411.07,61.16
2024,SAGCV.HE,Saga Furs Oyj,Textiles & Apparel,Other,HEX,1055.53,694.66,302.67,,,225.4,1411.44,304.3
