Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2013,SCST.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,STX,1124.73,67.67,827.48,,37.7,751.89,3062.41,-11.48
2014,SCST.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,STX,1011.32,85.98,625.9,,23.29,776.29,2966.85,355.22
2015,SCST.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,STX,1152.27,149.34,768.6,,21.45,922.76,3290.19,419.54
2016,SCST.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,STX,1125.46,22.0,860.88,35.56,33.29,958.56,3316.17,269.65
2017,SCST.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,STX,1916.14,30.22,1326.66,56.34,58.74,1245.8,5156.43,282.56
2018,SCST.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,STX,1932.2,86.85,1556.5,48.79,21.47,1445.25,5831.74,620.88
2019,SCST.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,STX,1973.78,181.91,1755.3,41.26,11.25,1639.03,5881.02,856.14
2020,SCST.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,STX,2361.98,431.25,2072.74,35.5,30.28,1897.31,6667.22,819.81
2021,SCST.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,STX,2187.26,341.0,1978.76,32.15,53.59,1840.41,6326.97,614.35
2022,SCST.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,STX,2302.33,2.82,2265.63,71.54,52.71,1877.82,6555.91,422.81
2023,SCST.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,STX,2245.09,4.03,2498.79,68.46,66.45,1971.25,6697.0,918.64
2024,SCST.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,STX,2418.08,112.06,2480.79,,46.26,2533.23,7483.51,665.12
