Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2002,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,53.37,18.39,40.46,,,,56.85,1.02
2003,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,112.36,42.28,89.98,,,,116.47,22.72
2004,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,256.99,117.45,187.26,,,,276.39,83.7
2005,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,437.69,185.41,287.05,,1.37,,453.29,36.14
2006,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,807.97,394.33,511.87,,23.97,,832.86,199.41
2007,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,1203.6,188.52,1548.56,,40.45,,1881.31,121.69
2008,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,755.53,118.61,1104.54,,21.78,,1379.44,186.44
2009,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,967.31,353.25,947.64,,0.0,,1396.18,53.26
2010,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,821.63,181.99,763.55,,2.17,,1228.36,-4.89
2011,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,865.07,252.28,735.06,,8.03,9.52,1246.58,106.78
2012,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,626.56,140.77,595.87,,5.23,8.66,1018.74,-12.84
2013,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,937.82,287.13,671.27,,3.79,5.57,1384.39,113.3
2014,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,811.48,111.9,565.64,,3.57,3.51,1231.92,-101.32
2015,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,755.58,264.66,591.57,,2.41,6.52,1111.88,18.24
2016,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,477.64,160.45,432.28,,4.37,5.87,825.33,-62.59
2017,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,354.92,68.71,508.61,,2.58,3.19,718.53,-71.34
2018,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,349.18,43.1,386.76,,6.42,2.01,725.66,-3.04
2019,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,385.0,45.19,436.15,11.9,3.71,1.15,785.4,8.32
2020,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,440.78,92.64,497.53,12.75,6.49,1.95,876.47,90.58
2021,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,478.98,91.59,537.02,12.12,9.63,3.47,898.92,57.27
2022,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,541.6,87.98,584.88,12.74,10.82,3.8,976.51,56.46
2023,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,614.48,70.68,683.25,6.79,7.06,4.85,1159.96,73.74
2024,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,STX,706.35,80.62,770.16,8.27,10.03,4.54,1281.19,56.84
