Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2011,VOLCARb.ST,Volvo Car AB,Automobiles & Auto Parts,Consumer Discretionary,29712.06,12698.04,31882.2,,546.66,22166.47,69815.8,6967.43
2012,VOLCARb.ST,Volvo Car AB,Automobiles & Auto Parts,Consumer Discretionary,24677.65,8223.89,28959.51,,312.45,21960.61,65746.57,2362.54
2013,VOLCARb.ST,Volvo Car AB,Automobiles & Auto Parts,Consumer Discretionary,36163.88,14487.42,36615.32,,620.14,24176.8,82556.23,7997.22
2014,VOLCARb.ST,Volvo Car AB,Automobiles & Auto Parts,Consumer Discretionary,47095.02,16296.45,51277.92,,600.98,34623.0,118120.96,8119.34
2015,VOLCARb.ST,Volvo Car AB,Automobiles & Auto Parts,Consumer Discretionary,66980.07,26816.1,70338.5,,466.77,39170.78,138478.16,21585.03
2016,VOLCARb.ST,Volvo Car AB,Automobiles & Auto Parts,Consumer Discretionary,75237.69,36638.28,72189.79,,593.65,43118.14,153070.93,26376.32
2017,VOLCARb.ST,Volvo Car AB,Automobiles & Auto Parts,Consumer Discretionary,89366.71,35424.88,96447.28,,1380.89,55280.7,190286.89,24143.77
2018,VOLCARb.ST,Volvo Car AB,Automobiles & Auto Parts,Consumer Discretionary,98622.33,39200.28,100918.53,,1605.29,59730.42,206134.74,25064.57
2019,VOLCARb.ST,Volvo Car AB,Automobiles & Auto Parts,Consumer Discretionary,110185.7,48755.66,108751.08,1006.11,1220.84,65390.73,228196.21,30126.72
2020,VOLCARb.ST,Volvo Car AB,Automobiles & Auto Parts,Consumer Discretionary,144969.52,64314.41,131938.94,6450.02,1551.68,59992.46,273906.38,35090.08
2021,VOLCARb.ST,Volvo Car AB,Automobiles & Auto Parts,Consumer Discretionary,138310.55,60663.46,122871.16,1424.4,1365.94,69578.11,276069.66,29917.89
2022,VOLCARb.ST,Volvo Car AB,Automobiles & Auto Parts,Consumer Discretionary,149773.18,59999.07,140604.31,3294.4300000000003,1474.02,72714.62,311487.25,31923.91
2023,VOLCARb.ST,Volvo Car AB,Automobiles & Auto Parts,Consumer Discretionary,158016.75,48184.76,162085.09,7955.450000000001,1617.87,84682.0,358772.67,42664.52
2024,VOLCARb.ST,Volvo Car AB,Automobiles & Auto Parts,Consumer Discretionary,163068.3,57956.83,174347.54,8443.75,1281.01,110133.72,399142.71,48177.21
