Year,Ticker,CompanyName,Industry,Sector,Exchange,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2009,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,2966.22,1917.62,892.18,,5.79,,14964.35,797.7
2010,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,3621.16,3050.62,1676.68,,58.22,,16161.32,634.27
2011,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,2617.75,1745.17,1822.86,,113.56,10345.49,18216.68,918.81
2012,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,2842.69,1913.67,895.64,,,10391.68,18953.14,1570.0
2013,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,2644.91,952.41,1389.18,,12.13,11046.73,20552.62,1140.27
2014,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,2973.86,1046.08,1083.44,,,13150.72,25053.62,1362.04
2015,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,3297.25,954.7,2519.34,,26.52,16150.31,29162.5,1564.2
2016,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,2634.29,699.6,1761.95,,60.46,16228.92,26023.28,1771.6
2017,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,12203.81,6532.77,11965.81,,106.69,44022.35,64531.64,3818.78
2018,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,10452.83,4181.13,9563.04,,120.94,45137.21,64047.32,2214.24
2019,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,9199.76,3493.8,8980.3,,122.9,50967.39,68436.41,6589.76
2020,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,10610.86,5609.95,9384.22,3242.45,51.47,35812.73,65432.22,5787.67
2021,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,13025.11,6252.76,12285.35,4535.45,35.23,35517.42,68639.42,5354.49
2022,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,21072.27,11912.54,12010.51,3095.69,19.59,38627.6,82231.82,12460.83
2023,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,27263.42,17280.35,23320.87,4114.85,375.0,39232.97,86584.16,18686.46
2024,WAWI.OL,Wallenius Wilhelmsen ASA,Freight & Logistics Services,Industrials,OBX,27800.5,15832.42,26720.76,3841.61,409.17,44201.21,95471.88,18930.55
