Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,279.61,0.0,132.44,2.44,0.51,90.92,1.61,1.611369285637091
2005,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,135.69,0.0,92.33,0.0,0.0,399.95,2.67,0.10769460036759226
2006,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,255.2,0.0,173.92000000000002,10.53,0.1,436.14,0.0,0.21027651671481631
2007,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,562.52,0.0,273.72,23.32,0.0,523.99,0.34,0.595273968683844
2008,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,887.61,0.0,440.7,37.66,0.16,640.06,0.36,0.7563942412791607
2009,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,1069.65,0.0,566.21,43.88,0.12,663.83,0.0,0.8243074281065935
2010,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,1346.39,0.0,698.46,29.96,0.03,716.37,0.0,0.9462428633248183
2011,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,1499.86,265.74,693.67,35.75,0.99,1157.82,0.0,0.49680433918916583
2012,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,1893.91,300.81,1002.16,69.58,3.16,1350.64,0.0,0.4867026002487711
2013,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,2235.36,553.06,1044.4,83.84,0.0,1915.27,0.0,0.3768345977329568
2014,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,2787.99,738.26,1206.29,113.08,0.0,2946.24,0.0,0.3246578690127076
2015,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,3558.61,1000.45,1553.4300000000003,140.42,11.53,3300.57,0.0,0.3434618868862044
2016,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,4043.02,1020.58,1872.4,207.95,12.28,3321.9,0.0,0.4051025015804208
2017,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,4567.16,1256.01,2189.74,207.3,40.38,3669.29,0.0,0.35111152293767994
2018,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,5075.49,1460.75,2198.79,188.73,41.17,4478.47,0.0,0.34911699754603687
2019,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,4813.88,1624.23,2035.8,188.39,59.37,4593.66,0.0,0.2792696890932286
2020,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,6539.61,2342.45,2647.52,251.17,52.32,5260.2,26.48,0.3307349792308217
2021,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,6683.34,2358.53,2758.8999999999996,252.01,55.46,5724.57,-0.03,0.3078780129058405
2022,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,7844.87,2753.58,3330.9500000000003,246.29,83.2,6807.44,-15.73,0.28320261024101434
2023,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,10816.5,3609.3,4167.13,330.81,157.45000000000002,8612.48,-120.8,0.3784209956098204
2024,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,12858.26,4495.63,4690.84,362.53,239.79,10226.66,-134.14,0.3759744840733534
