Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2004,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,86.76,0.0,65.08,0.0,1.58,83.14,0.0
2005,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,80.45,0.0,65.22,0.0,1.67,74.05,0.0
2006,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,117.6,0.0,84.52,0.0,1.21,148.58,0.0
2007,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,147.64,0.0,114.15,0.0,0.0,138.86,0.0
2008,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,247.04,0.0,150.08999999999997,0.0,0.0,212.91,0.0
2009,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,125.69,0.0,127.17,0.0,0.0,81.15,0.0
2010,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,107.63,0.0,85.37,0.0,0.0,23.76,0.0
2011,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,71.73,0.0,123.53,0.0,0.0,0.0,0.0
2012,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,66.9,0.0,54.69,0.0,-1.94,4.71,0.0
2013,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,76.25,0.0,53.38,0.0,-1.28,-24.77,0.0
2014,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,142.92,0.0,69.31,0.0,-1.22,112.45,0.0
2015,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,94.48,0.0,68.28,0.0,-0.15,119.85,0.0
2016,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,93.33,0.0,70.05000000000001,0.0,-0.04,122.55,0.0
2017,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,79.34,0.0,80.89999999999999,0.0,0.0,148.61,0.0
2018,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,90.17,0.0,81.94999999999999,0.0,-0.05,118.86,0.0
2019,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,79.62,0.0,86.99,0.0,-0.7,73.93,0.0
2020,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,94.68,0.0,97.97,0.0,-0.86,130.68,0.0
2021,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,97.69,0.0,100.37,0.0,-0.82,104.39,0.0
2022,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,115.57,0.0,116.03,0.0,-1.09,87.1,0.0
2023,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,125.32,0.0,138.56,0.0,-1.21,84.07,0.0
2024,AAB.CO,COX,Aalborg Boldspilklub A/S,Hotels & Entertainment Services,Consumer Discretionary,117.15,0.0,133.11,0.0,-1.1,89.51,0.0
