Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
1998,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,0.64,0.0,0.77,0.0,1.85,24.52,0.0
1999,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,0.65,0.0,1.03,0.0,1.26,27.01,0.0
2000,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,134.24,136.42,5.41,0.0,0.15,47.99,0.0
2001,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,8.59,8.44,6.05,0.0,0.04,48.57,0.0
2002,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,7.91,0.0,22.46,0.0,0.0,35.01,0.0
2003,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,86.83,58.26,38.870000000000005,0.0,1.34,116.39,7.29
2004,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,599.98,321.26,233.76,0.0,9.45,104.15,0.43
2005,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,736.35,0.0,1332.27,0.0,7.0,195.27,0.0
2006,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,1009.18,662.55,276.99,0.0,12.25,474.28,13.09
2007,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,1028.42,701.74,227.95,0.0,15.2,3248.02,15.82
2008,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,1306.69,1044.63,344.86,0.0,95.18,3387.58,75.41
2009,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,620.05,563.28,238.15999999999997,0.0,57.36,2223.94,148.28
2010,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,987.15,869.21,401.34,0.0,3.35,1647.7,192.99
2011,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,1239.63,1098.44,358.53,0.0,11.88,1747.02,111.01
2012,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,960.99,859.59,288.58,0.0,3.7,1492.94,52.58
2013,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,1058.14,960.38,243.17,0.0,5.6,1542.21,44.76
2014,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,1442.93,1197.24,231.77,0.0,10.22,1602.58,44.72
2015,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,1679.01,1338.58,266.23,0.0,15.51,1606.68,36.91
2016,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,1426.38,1148.7,303.98,0.0,7.74,1562.09,37.69
2017,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,1854.98,1485.27,327.33,0.0,15.67,1687.42,9.54
2018,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,1862.81,1577.04,376.78999999999996,0.0,11.12,1490.87,3.69
2019,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,1426.7,1327.17,421.59000000000003,0.0,22.84,662.33,71.15
2020,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,641.3,494.77,232.42,0.0,17.41,288.48,23.77
2021,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,815.54,582.73,222.59,0.0,19.69,442.91,-8.02
2022,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,2005.54,1232.92,270.26,0.0,7.56,1108.26,-9.65
2023,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,1752.81,1274.57,371.74,0.0,2.0,1186.14,-3.42
2024,AFAGR.HE,HEX,Afarak Group SE,Metals & Mining,Materials,1494.76,1196.33,362.81,0.0,0.12,1318.43,0.27
