Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2005,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,36940.0,4131.0,30993.0,91.0,-467.0,4262.0,65.0
2006,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,50592.0,5980.0,41740.0,105.0,-429.0,7983.0,131.0
2007,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,57957.0,5442.0,48602.0,166.0,-209.0,7099.0,168.0
2008,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,58252.0,6857.0,48013.0,188.0,-379.0,8450.0,156.0
2009,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,49856.0,5301.0,40460.0,164.0,-599.0,8976.0,147.0
2010,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,33365.0,4741.0,25316.0,361.0,-494.0,9950.0,189.0
2011,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,36474.0,5443.0,27586.0,498.0,-342.0,10797.0,169.0
2012,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,41632.0,5540.0,31921.0,0.0,-539.0,11823.0,157.0
2013,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,18448.0,2044.0,15049.0,0.0,-526.0,13214.0,161.0
2014,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,21432.0,2206.0,17846.0,0.0,-341.0,9378.0,0.0
2015,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,9983.0,1303.0,8113.0,0.0,-205.0,7386.0,0.0
2016,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,4975.0,4884.0,0.0,0.0,-236.0,5580.0,0.0
2017,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,3606.0,468.0,3022.0,0.0,-122.0,5277.0,0.0
2018,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,3800.0,572.0,2937.0,0.0,-81.0,4317.0,0.0
2019,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,5361.0,564.0,4305.0,0.0,-138.0,4353.0,18.0
2020,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,819.0,138.0,752.0,0.0,-106.0,3657.0,11.0
2021,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,953.0,78.0,661.0,0.0,-121.0,4091.0,18.0
2022,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,269.0,361.0,0.0,0.0,-129.0,4056.0,36.0
2023,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,282.0,284.0,0.0,0.0,-163.0,3970.0,0.0
2024,AKAST.OL,OBX,Akastor ASA,Oil & Gas Related Equipment and Services,Energy,922.0,274.0,0.0,0.0,-104.0,5859.0,0.0
