Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2004,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,108.13,54.74,0.0,5.5,2.07,34.11,0.0,1.6657871591908529,0.0,0.0
2005,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,146.1,85.47,0.0,5.4,2.24,37.74,0.0,1.6902490726020136,0.0,0.0
2006,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,355.96,222.98,0.0,4.6,2.31,290.63,0.0,0.4654371537693975,0.0,0.0
2007,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,860.82,536.55,0.0,8.9,7.6,336.44,0.0,0.9676911187730355,0.0,0.0
2008,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,866.53,505.52,0.0,16.8,12.24,309.6,0.0,1.18078165374677,0.0,0.0
2009,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,599.35,329.16,0.0,18.8,10.2,256.64,0.0,1.0863076683291772,0.0,0.0
2010,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,742.52,462.02,0.0,23.2,12.84,227.56,0.0,1.2781683951485323,0.0,0.0
2011,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,893.55,567.16,0.0,20.7,12.4,323.77,0.0,1.0337276461685765,0.0,0.0
2012,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,831.53,473.29,0.0,18.2,9.58,325.27,0.0,1.1278630061179942,0.0,0.0
2013,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,918.67,556.6,85.83,0.0,8.22,336.6,2.26,0.7909461134391782,0.0,0.0
2014,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,1246.06,759.89,102.86,0.0,7.02,387.58,1.68,0.9666803678775111,0.0,0.0
2015,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,1420.71,837.75,173.78,0.0,7.75,424.99,3.44,0.9369792031370353,0.0,11.29
2016,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,1595.39,912.87,194.73000000000002,0.0,10.81,434.59,0.38,1.0965813734280527,0.0,14.11
2017,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,2073.24,1196.27,245.09,0.0,14.18,499.91,0.52,1.2343384689167312,0.0,16.03
2018,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,2566.76,1516.68,306.8,0.0,17.75,1062.42,0.18,0.6827875023527199,0.0,24.09
2019,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,3050.51,1861.35,291.33,0.0,47.2,986.34,4.17,0.8587798204965122,0.0,40.94
2020,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,3159.45,1906.98,235.87,0.0,46.08,1041.54,0.16,0.9316693865796292,0.0,19.66
2021,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,3111.57,1872.52,296.46,0.0,41.3,1296.89,0.14,0.6948875507891106,0.0,24.09
2022,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,3320.33,2106.72,370.24,0.0,56.15,1144.0,0.34,0.6879249174196482,0.0,32.75
2023,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,3415.0,1996.25,267.93,0.0,95.25,1142.45,10.23,0.9157528542179962,0.0,49.18
2024,AKVA.OL,OBX,Akva Group ASA,Food & Tobacco,Consumer Staples,3517.54,1934.0,276.88,0.0,102.95,1305.98,7.25,0.9166025753295308,0.0,38.2
