Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
1994,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,8186.71,6782.15,1115.41,746.66,41.18,0.0,0.0
1995,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,9059.23,7275.98,1521.27,1106.54,16.87,2415.94,0.0
1996,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,11198.25,9029.6,1135.96,645.43,32.27,2956.46,141.7
1997,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,19388.64,15539.22,1903.48,969.43,275.97,12563.93,103.22
1998,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,26331.86,21154.55,2528.28,1328.29,422.64,14084.98,114.45
1999,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,21175.72,23936.75,2917.02,1536.51,428.97,15477.16,72.14
2000,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,36219.02,29892.13,3396.63,1724.72,527.97,16747.45,192.9
2001,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,35843.9,30545.0,3574.51,1805.22,592.76,16773.56,241.54
2002,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,35425.41,29174.33,3580.02,1833.86,438.53,14272.71,284.76
2003,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,37498.53,30552.0,4005.22,2157.53,339.55,16019.66,272.77
2004,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,41383.0,33299.58,4551.94,2481.4,270.77,16018.77,357.27
2005,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,39964.34,31897.28,4616.75,2484.85,284.04,15618.62,443.05
2006,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,39643.86,31635.01,4632.59,2547.25,300.47,14976.8,530.41
2007,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,39628.91,31957.79,4423.05,2316.61,365.9,12766.65,283.69
2008,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,36549.53,30335.23,4073.79,2073.32,411.61,14699.73,397.97
2009,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,32163.71,27226.75,3664.4,1878.05,428.37,13835.8,276.92
2010,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,43315.08,33988.32,3977.16,2053.22,328.01,17042.16,69.28
2011,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,46122.22,36706.62,4378.37,2361.46,347.36,19922.4,93.23
2012,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,48069.45,38614.54,4780.37,2535.27,242.48,20909.09,97.35
2013,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,51743.77,41844.54,5167.68,2757.23,193.38,24151.76,115.87
2014,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,58268.1,46994.71,5993.6,3234.21,399.78,25607.29,112.08
2015,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,73933.52,59222.77,7541.23,4035.48,524.89,30546.81,110.5
2016,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,66511.37,52930.51,6311.43,2893.33,522.24,31759.98,2152.34
2017,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,67256.75,53465.34,6424.14,2943.43,505.04,33116.07,1102.2
2018,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,70645.52,56806.54,6536.07,3229.37,538.09,16272.72,113.17
2019,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,75202.44,61363.94,7077.17,3403.1,611.47,18515.4,115.87
2020,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,70086.33,58446.05,7196.47,3338.03,686.99,20663.3,121.81
2021,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,70734.22,57833.6,7073.42,3162.84,515.68,23188.04,132.1
2022,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,84948.88,71565.73,7945.34,3554.75,576.45,25598.25,127.35
2023,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,110525.48,91332.56,9738.9,4231.09,981.28,25915.45,131.76
2024,ALIVsdb.ST,STX,Autoliv Inc,Automobiles & Auto Parts,Consumer Discretionary,111627.96,90924.68,9970.24,3996.69,1160.33,25856.97,113.66
