Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2015,ASA.OL,Atlantic Sapphire ASA,Food & Tobacco,Consumer Staples,0.0,0.0,0.0,0.0,0.0,25.24,0.0,0.0,0.0,0.0
2016,ASA.OL,Atlantic Sapphire ASA,Food & Tobacco,Consumer Staples,17.82,19.47,19.67,0.0,2.1,55.7,0.0,-0.4204667863554758,0.0,4.21
2017,ASA.OL,Atlantic Sapphire ASA,Food & Tobacco,Consumer Staples,12.42,22.82,51.36,0.0,8.68,667.29,0.0,-0.10556130018432766,0.0,4.88
2018,ASA.OL,Atlantic Sapphire ASA,Food & Tobacco,Consumer Staples,3.92,5.41,70.24,0.0,18.64,1187.29,0.0,-0.07611451288227812,0.0,8.6
2019,ASA.OL,Atlantic Sapphire ASA,Food & Tobacco,Consumer Staples,48.74,57.91,113.35,0.0,16.65,1831.87,0.0,-0.07597154819938096,0.0,20.11
2020,ASA.OL,Atlantic Sapphire ASA,Food & Tobacco,Consumer Staples,59.01,170.99,242.82,0.0,106.06,2191.3,0.0,-0.21031351252681055,0.0,63.48
2021,ASA.OL,Atlantic Sapphire ASA,Food & Tobacco,Consumer Staples,144.83,563.87,431.56000000000006,0.0,33.06,2109.7,0.0,-0.41885576148267534,0.0,129.4
2022,ASA.OL,Atlantic Sapphire ASA,Food & Tobacco,Consumer Staples,182.1,672.81,353.75,0.0,73.53999999999999,2903.51,0.0,-0.31616905056293926,0.0,136.59
2023,ASA.OL,Atlantic Sapphire ASA,Food & Tobacco,Consumer Staples,147.67,708.43,273.0,0.0,89.47,2869.65,0.0,-0.3217221612391755,0.0,146.02
2024,ASA.OL,Atlantic Sapphire ASA,Food & Tobacco,Consumer Staples,245.16,892.76,365.51,0.0,85.88,2305.33,0.0,-0.4767169993016184,0.0,154.9
