Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2015,BETCO.ST,Better Collective A/S,Software & IT Services,Information Technology,101.73,13.63,54.25,0.0,0.75,44.38,0.0,0.7458314556106356,0.0,0.11
2016,BETCO.ST,Better Collective A/S,Software & IT Services,Information Technology,161.68,23.59,72.39999999999999,0.0,0.07,54.83,0.0,1.1967900784242207,0.0,0.27
2017,BETCO.ST,Better Collective A/S,Software & IT Services,Information Technology,244.98,27.52,125.35,0.0,1.35,145.46,0.0,0.6239516018149318,0.0,6.74
2018,BETCO.ST,Better Collective A/S,Software & IT Services,Information Technology,388.7,41.77,220.69,0.0,5.82,850.65,0.0,0.1415623346852407,0.0,29.69
2019,BETCO.ST,Better Collective A/S,Software & IT Services,Information Technology,664.03,65.0,384.29999999999995,0.0,14.98,1361.12,0.0,0.14675414364640887,0.0,61.53
2020,BETCO.ST,Better Collective A/S,Software & IT Services,Information Technology,977.81,219.52,432.3299999999999,0.0,22.03,1702.81,0.0,0.17848732389403402,0.0,83.15
2021,BETCO.ST,Better Collective A/S,Software & IT Services,Information Technology,1799.14,659.12,660.55,0.0,40.11,3452.44,0.0,0.12726071995458285,0.0,87.3
2022,BETCO.ST,Better Collective A/S,Software & IT Services,Information Technology,2718.22,930.92,1076.65,0.0,50.91,4329.12,0.0,0.15239586798240742,0.0,148.07
2023,BETCO.ST,Better Collective A/S,Software & IT Services,Information Technology,3726.64,1132.71,1648.96,0.0,186.05,4868.55,0.0,0.1558821415000359,0.0,322.16
2024,BETCO.ST,Better Collective A/S,Software & IT Services,Information Technology,4316.53,1245.24,2229.49,0.0,236.01,8071.28,0.0,0.07505500986212846,0.0,475.89
