Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2004,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,279.61,0.0,141.16,2.44,0.51,90.92,1.61,1.517129579595807,0.0,8.72
2005,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,135.69,0.0,98.38,0.0,0.0,399.95,2.67,0.09266802443991853,0.0,6.05
2006,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,255.2,0.0,174.83,10.53,0.1,436.14,0.0,0.20819003072407938,0.0,0.91
2007,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,562.52,0.0,284.38000000000005,23.32,0.0,523.99,0.34,0.574943260923464,0.0,10.66
2008,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,887.61,0.0,458.34,37.66,0.16,640.06,0.36,0.7288498173073922,0.0,17.64
2009,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,1069.65,0.0,596.36,43.88,0.12,663.83,0.0,0.7788891734329573,0.0,30.15
2010,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,1346.39,0.0,740.21,29.96,0.03,716.37,0.0,0.8879629241872219,0.0,41.75
2011,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,1499.86,265.74,757.43,35.75,0.99,1157.82,0.0,0.441735330189494,0.0,63.76
2012,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,1893.91,300.81,1092.3799999999999,69.58,3.16,1350.64,0.0,0.41990463780133885,0.0,90.22
2013,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,2235.36,553.06,1141.0600000000002,83.84,0.0,1915.27,0.0,0.32636651751450185,0.0,96.66
2014,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,2787.99,738.26,1323.87,113.08,0.0,2946.24,0.0,0.2847493754751818,0.0,117.58
2015,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,3558.61,1000.45,1707.0500000000002,140.42,11.53,3300.57,0.0,0.2969184110623316,0.0,153.62
2016,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,4043.02,1020.58,2080.4300000000003,207.95,12.28,3321.9,0.0,0.3424787019476805,0.0,208.03
2017,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,4567.16,1256.01,2448.8599999999997,207.3,40.38,3669.29,0.0,0.28049295640300986,0.0,259.12
2018,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,5075.49,1460.75,2490.36,188.73,41.17,4478.47,0.0,0.28401217380042726,0.0,291.57
2019,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,4813.88,1624.23,2375.23,188.39,59.37,4593.66,0.0,0.20537871762385548,0.0,339.43
2020,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,6539.61,2342.45,3015.06,251.17,52.32,5260.2,26.48,0.26121308647393077,0.0,367.54
2021,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,6683.34,2358.53,3125.7400000000002,252.01,55.46,5724.57,-0.03,0.24379600806352983,0.0,366.84
2022,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,7844.87,2753.58,3746.8100000000004,246.29,83.2,6807.44,-15.73,0.22197208066893306,0.0,415.86
2023,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,10816.5,3609.3,4762.6,330.81,157.45000000000002,8612.48,-120.8,0.3082970625365063,0.0,595.47
2024,BETSb.ST,Betsson AB,Hotels & Entertainment Services,Consumer Discretionary,12858.26,4495.63,5378.72,362.53,239.79,10226.66,-134.14,0.30781707640906336,0.0,687.88
