Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,143.97,7.62,115.6,0.0,0.0,272.34,0.0,0.0761915252992582,0.0,12.9,236.62
2005,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,165.55,0.0,142.72,0.0,0.0,288.34,0.0,0.0791773600610391,0.0,12.85,269.86
2006,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,140.6,7.98,132.17,0.0,0.0,359.1,0.0,0.0012531328320802,0.0,13.17,260.73
2007,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,143.84,0.0,140.04999999999998,0.0,0.0,438.33,0.0,0.0086464535851984,0.0,17.98,264.39
2008,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,201.26,10.22,185.27,0.0,0.0,514.4,0.0,0.0112169517884914,0.0,21.97,252.75
2009,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,292.35,0.0,217.93,0.0,0.0,445.07,-0.34,0.1673374856654599,0.0,20.57,160.37
2010,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,193.42,6.26,197.83,0.0,0.0,382.68,0.0,-0.0278823037524825,0.0,21.23,134.43
2011,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,158.39,5.95,166.45,0.0,0.0,340.99,0.0,-0.041086248863603,0.0,4.26,71.03
2012,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,130.45,2.77,199.16,0.0,5.74,58.97,0.0,-1.309479396303205,0.0,2.69,64.08
2013,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,121.12,0.0,146.26,0.0,0.0,261.16,0.0,-0.0962628273855107,0.0,1.82,299.97
2014,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,133.39,0.0,175.61,0.0,4.01,97.45,0.0,-0.4743971267316575,0.0,6.050000000000001,196.94
2015,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,162.92,0.0,194.19000000000003,0.0,5.17,83.63,0.0,-0.4357288054525893,0.0,7.58,139.12
2016,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,167.98,0.0,202.78,0.0,4.57,158.67,0.0,-0.2481250393899289,0.0,8.1,189.15
2017,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,184.37,0.0,207.19,0.0,0.8,170.16,0.0,-0.138810531264692,0.0,9.5,322.16
2018,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,239.22,0.0,263.98,0.0,1.2,184.45,0.0,-0.1407427487123879,0.0,12.56,323.96
2019,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,230.98,0.0,286.4,0.0,5.34,76.3,0.0,-0.7963302752293577,0.0,16.81,222.16
2020,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,162.97,0.0,249.52,0.0,2.09,219.82,0.0,-0.4032390137385134,0.0,15.34,297.92
2021,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,396.35,0.0,334.42,0.0,0.67,322.54,0.0,0.1899299311713276,0.0,14.73,369.38
2022,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,300.08,0.0,362.81000000000006,0.0,0.9,321.06,0.0,-0.1981872547187443,0.0,17.099999999999998,430.3
2024,BIF.CO,Broendbyernes IF Fodbold A/S,Hotels & Entertainment Services,Consumer Discretionary,523.91,0.0,689.9899999999999,0.0,21.34,241.68,0.0,-0.775488248924197,0.0,34.15,
