Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,223.42,0.0,163.29,0.0,0.0,116.48,0.0,0.5162259615384615
2005,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,229.55,0.0,171.46,0.0,0.0,114.18,0.0,0.5087581012436504
2006,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,252.64,0.0,188.1,13.59,0.0,110.34,0.0,0.7080841036795359
2007,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,263.56,0.0,196.26,1.6,5.61,93.89,0.0,0.6740866971988497
2008,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,289.07,0.0,207.54,12.35,5.76,121.27,0.0,0.7266430279541518
2009,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,308.65,0.0,225.78,21.02,0.0,105.75,0.0,0.9824113475177304
2010,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,17.75,0.0,35.29,20.34,0.0,101.27,0.0,0.02764885948454627
2011,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,16.9,11.67,30.55,25.79,5.52,408.85,0.0,-0.01235171823407118
2012,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,15.31,9.87,12.77,7.25,2.33,260.51,0.0,-0.009251084411346967
2013,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,26.96,13.28,15.170000000000002,8.3,1.75,187.19,0.0,0.027031358512741067
2014,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,36.46,16.08,25.52,17.27,0.48,114.59,0.0,0.10166681211274982
2015,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,54.12,25.54,18.23,18.23,2.16,98.98,0.0,0.2669226106284098
2016,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,76.12,37.06,18.28,18.28,1.51,97.61,0.0,0.38469419116893766
2017,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,83.78,0.0,57.36,0.0,0.88,169.76,0.0,0.15044769085768145
2018,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,95.35,0.0,63.52,0.0,2.04,157.45,0.0,0.18920292156240073
2019,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,98.96,0.0,60.2,0.0,0.0,143.48,0.0,0.2701421800947867
2020,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,76.38,0.0,55.27,0.0,1.83,91.17,0.0,0.21147307228254902
2021,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,95.12,0.0,57.57000000000001,0.0,0.34,73.08,0.0,0.5091680350301039
2022,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,110.54,0.0,58.56,0.0,3.55,78.19,0.0,0.6193886686277018
2023,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,149.16,0.0,74.75999999999999,0.0,1.81,105.43,0.0,0.6885137057763445
2024,BIOBV.HE,Biohit Oyj,Pharmaceuticals,Health Care,165.96,0.0,75.75999999999999,0.0,3.74,143.45,0.0,0.6027187173231093
