Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
1997,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,149.84,0.0,51.370000000000005,0.0,2.79,44.76,0.0,2.137622877569258,0.0,4.11
2004,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,1695.29,404.19,1012.5999999999999,0.0,13.32,894.87,0.0,0.2963335456546761,0.0,96.17
2005,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,1522.36,360.73,1044.02,0.0,11.25,959.64,0.0,0.11083322912758942,0.0,77.93
2006,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,969.04,57.09,982.27,190.25,3.96,1533.54,0.0,0.07562241610913309,0.0,66.25
2007,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,1156.0,80.97,1369.12,307.14,13.21,1313.39,0.0,-0.00012182215488167743,0.0,127.5
2008,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,1418.68,148.16,1651.42,312.02,18.33,1117.62,0.0,-0.07803188919310688,0.0,134.78
2009,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,1341.93,72.03,1312.48,119.07,8.959999999999999,932.18,0.0,0.072443090390268,0.0,84.78
2010,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,1294.61,123.17,1310.87,128.05,7.06,549.1,0.0,-0.03358222545984357,0.0,68.25
2011,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,1153.46,52.27,1165.82,121.39,5.05,506.82,0.0,0.10202833353064249,0.0,66.09
2012,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,1299.68,54.56,1257.84,0.0,0.0,481.49,0.0,-0.026417994143180128,0.0,52.32
2013,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,1556.11,97.02,1423.02,144.16,5.409999999999999,681.46,0.0,0.2565374343321692,0.0,70.59
2014,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,440.48,57.08,390.83,39.99,4.02,844.3,0.0,0.03380315053890804,0.0,19.51
2015,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,508.17,49.23,452.47,35.42,2.5,1320.79,0.0,0.029823060441099634,0.0,22.47
2016,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,596.23,46.97,546.76,55.54,1.5299999999999998,1186.0,0.0,0.047647554806070844,0.0,30.31
2017,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,481.78,55.42,510.65,92.9,4.62,1148.71,0.0,0.0034734615351132633,0.0,36.41
2018,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,603.36,98.07,494.36,69.45,12.39,1090.19,0.0,0.06236527577761674,0.0,44.61
2019,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,740.49,168.82,521.55,93.24,6.67,1105.36,0.0,0.12366106969675052,0.0,78.75
2020,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,840.54,227.21,604.17,99.1,6.1,1196.87,0.0,0.0853559701554889,0.0,122.24
2021,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,882.72,236.88,643.9100000000001,130.47,4.45,1169.49,0.0,0.10940666444347534,0.0,106.21
2022,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,832.37,204.17,655.55,157.87,5.69,1213.81,0.0,0.1028414661273182,0.0,107.99
2023,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,858.37,230.41,715.7099999999999,148.13,13.4,1203.34,0.0,0.039041334951053,0.0,108.13
2024,BITTI.HE,Bittium Oyj,Communications & Networking,Communication Services,989.57,244.41,677.4,157.38,16.64,1327.35,0.0,0.1570798960334502,0.0,100.29
