Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2014,BONEX.ST,STX,Bonesupport Holding AB,Pharmaceuticals,Health Care,37.63,5.86,72.49000000000001,15.63,-10.81,-41.71,0.0
2015,BONEX.ST,STX,Bonesupport Holding AB,Pharmaceuticals,Health Care,59.04,9.09,104.65,18.17,-9.07,21.27,0.0
2016,BONEX.ST,STX,Bonesupport Holding AB,Pharmaceuticals,Health Care,102.71,16.02,181.06,37.54,-23.22,32.53,0.0
2017,BONEX.ST,STX,Bonesupport Holding AB,Pharmaceuticals,Health Care,125.21,16.34,210.13,58.72,-33.21,451.08,0.0
2018,BONEX.ST,STX,Bonesupport Holding AB,Pharmaceuticals,Health Care,90.48,14.19,247.61,61.87,-1.35,271.81,0.0
2019,BONEX.ST,STX,Bonesupport Holding AB,Pharmaceuticals,Health Care,144.67,18.23,283.50999999999993,64.1,-0.25,116.56,0.0
2020,BONEX.ST,STX,Bonesupport Holding AB,Pharmaceuticals,Health Care,185.11,19.71,246.42000000000002,59.26,-0.46,416.53,0.0
2021,BONEX.ST,STX,Bonesupport Holding AB,Pharmaceuticals,Health Care,213.35,23.23,243.65,53.13,-1.27,258.87,0.0
2022,BONEX.ST,STX,Bonesupport Holding AB,Pharmaceuticals,Health Care,312.42,29.56,308.85999999999996,50.44,-1.58,253.13,0.0
2023,BONEX.ST,STX,Bonesupport Holding AB,Pharmaceuticals,Health Care,588.29,49.92,403.64,56.84,-4.23,548.86,0.0
2024,BONEX.ST,STX,Bonesupport Holding AB,Pharmaceuticals,Health Care,914.0,67.61,522.6800000000001,77.3,-4.04,747.9,0.0
