Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2005,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,158.62,75.87,21.11,6.06,-0.14,70.35,0.0
2006,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,282.42,139.29,26.62,7.14,0.18,125.7,0.0
2007,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,428.94,199.21,35.95,9.41,-2.63,288.41,0.07
2008,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,450.37,207.89,42.22,10.46,0.0,367.96,0.07
2009,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,427.89,208.44,42.519999999999996,10.86,-2.34,372.96,0.09
2010,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,450.17,208.98,45.81,11.35,-1.67,370.73,0.89
2011,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,463.38,224.82,58.5,11.41,-2.43,344.45,-3.34
2012,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,473.91,236.17,53.410000000000004,9.57,-8.82,294.66,-8.42
2013,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,450.58,217.12,265.69,0.0,-11.19,264.5,-12.75
2014,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,500.16,232.92,261.18,0.0,-9.85,273.85,-4.45
2015,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,558.84,261.14,298.17,0.0,-7.92,304.21,-7.05
2016,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,627.05,308.47,311.9,0.0,-7.97,274.16,-0.26
2017,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,681.96,310.08,383.40000000000003,0.0,-5.86,277.58,0.49
2018,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,671.24,283.33,394.53999999999996,0.0,-3.41,274.9,-5.72
2019,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,724.98,326.39,378.08000000000004,0.0,-7.62,248.37,-5.52
2020,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,751.24,343.1,420.95,0.0,-6.63,303.88,-5.53
2021,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,797.85,352.44,402.06,0.0,-5.01,325.62,-5.72
2022,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,818.08,390.19,421.5,0.0,-4.050000000000001,305.73,-6.21
2023,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,887.58,399.24,469.32,0.0,-6.090000000000001,353.19,-6.35
2024,BORG.ST,STX,Bjorn Borg AB,Textiles & Apparel,Other,1030.11,477.02,553.41,0.0,-7.79,362.38,-7.08
