Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2004,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,656.56,0.0,353.09,0.0,0.0,7.18,21.66,10.522538141470179,0.0,13.34
2005,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,699.28,0.0,349.17,0.0,0.0,157.73,12.74,2.053792456150642,0.0,7.25
2006,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,809.73,0.0,395.93,0.0,0.0,221.92,12.03,1.76875400726651,0.0,6.57
2007,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,960.86,0.0,478.78999999999996,0.0,0.0,227.67,12.3,2.0088761095136896,0.0,7.64
2008,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,1096.26,0.0,472.13,0.0,0.0,305.8,12.72,1.9594687931684036,0.0,27.47
2009,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,981.04,0.0,544.02,0.0,0.0,247.62,11.21,1.6884441525325504,0.0,27.13
2010,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,870.88,0.0,452.96999999999997,0.0,0.0,300.85,12.73,1.3327061674851712,0.0,5.57
2011,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,830.25,343.69,455.43,0.0,0.0,286.55,7.95,0.10570458404074701,0.0,0.0
2012,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,885.03,362.52,466.92,0.0,0.0,268.76,7.39,0.20130363932645295,0.0,0.0
2013,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,921.46,348.16,500.8,0.0,0.0,313.4,4.08,0.22836084162781892,0.0,0.0
2014,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,984.79,229.29,668.8299999999999,0.0,0.64,395.65,5.14,0.21465106414830729,0.0,0.0
2015,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,1347.45,329.79,944.0999999999999,0.0,0.75,496.78,3.31,0.14559379311723925,0.0,34.81
2016,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,1488.21,330.16,1034.96,0.0,0.8,574.45,2.17,0.2120807464187852,0.0,41.519999999999996
2017,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,1529.01,335.54,1068.76,0.0,0.86,726.38,4.01,0.169566943687619,0.0,49.52
2018,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,2416.19,504.14,1765.3999999999999,0.0,5.3,844.32,4.49,0.16652725580518643,0.0,63.33
2019,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,2322.47,572.69,1716.9199999999998,0.0,10.19,876.73,4.12,0.025736504512686498,0.0,72.05
2020,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,2024.83,366.62,1651.4699999999998,0.0,12.28,1003.07,4.48,-0.005498486427472346,0.0,71.88
2021,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,1748.25,156.66,1534.8799999999999,0.0,9.6,997.72,0.0,0.04721765625626432,0.0,66.78
2022,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,1885.74,183.7,1678.94,0.0,8.09,996.2,0.0,0.015067255571170356,0.0,76.95
2023,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,2358.38,258.38,2013.29,0.0,21.16,1075.65,0.0,0.0609398968065821,0.0,87.98
2024,COLUM.CO,Columbus A/S,Software & IT Services,Information Technology,2585.77,290.08,2200.91,0.0,26.87,1185.48,0.0,0.0572848129027906,0.0,96.75
