Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,22.61,1.14,26.67,0.0,0.3,29.28,0.0,-0.1878415300546449,0.0,0.42,104.45
2005,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,48.42,0.66,33.900000000000006,0.0,0.0,37.2,0.0,0.3725806451612903,0.0,0.38,379.5
2006,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,45.21,1.2,37.55,0.0,0.43,47.04,0.0,0.1281887755102041,0.0,0.4,320.31
2007,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,59.84,1.64,36.37,1.73,0.08,45.71,0.0,0.5136731568584556,0.0,2.08,295.87
2008,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,60.81,1.28,40.220000000000006,2.99,0.05,44.05,0.0,0.5051078320090805,0.0,2.21,200.52
2009,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,45.04,1.23,41.67,2.06,0.02,32.91,0.0,0.1270130659374051,0.0,2.31,141.11
2010,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,44.86,1.19,41.32,2.6,0.01,31.84,0.0,0.1551507537688443,0.0,2.68,117.25
2011,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,50.41,1.67,43.92,2.85,0.0,35.08,0.0,0.2186431014823259,0.0,2.91,77.18
2012,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,57.68,1.85,55.3,1.63,0.01,35.14,0.0,0.0611838360842346,0.0,3.25,81.96
2013,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,55.3,1.54,48.2,2.35,0.0,42.91,0.0,0.1843393148450244,0.0,3.2,95.62
2014,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,59.15,1.6,53.78,0.0,0.19,48.65,0.0,0.0735868448098663,0.0,3.53,149.58
2015,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,69.07,1.85,60.64,0.0,0.0,59.69,0.0,0.1102362204724409,0.0,4.07,180.31
2016,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,80.44,2.4,72.38,0.0,0.0,58.25,0.0,0.0971673819742488,0.0,4.74,338.08
2017,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,77.96,2.16,77.71,0.0,0.01,59.38,0.0,-0.0323341192320646,0.0,4.72,392.72
2018,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,85.13,2.08,82.7,0.0,0.01,57.15,0.0,0.005949256342957,0.0,4.71,377.01
2019,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,88.7,2.13,67.89,0.0,0.31,62.01,0.0,0.2962425415255605,0.0,7.6,710.31
2020,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,96.97,2.2,45.79,0.0,0.13,83.31,0.0,0.5863641819709517,0.0,6.24,1509.42
2021,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,98.32,1.97,51.77,0.0,0.1,36.83,0.0,1.2077111050773826,0.0,5.83,1126.94
2022,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,111.95,2.28,75.7,0.0,0.19,62.62,0.0,0.5394442670073459,0.0,7.55,707.14
2023,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,131.57,2.59,89.53,0.0,0.21,78.35,0.0,0.5008296107211231,0.0,8.79,595.73
2024,CONTX.OL,ContextVision AB,Healthcare Equipment & Supplies,Health Care,132.89,3.4,107.86,0.0,0.21,96.91,0.0,0.2210298214838508,0.0,8.78,425.52
