Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2014,CRNA.OL,OBX,Circio Holding ASA,Biotechnology & Medical Research,Health Care,0.07,0.0,17.64,6.32,0.0,60.69,0.0
2015,CRNA.OL,OBX,Circio Holding ASA,Biotechnology & Medical Research,Health Care,0.15,0.0,89.76,25.23,-2.6100000000000003,422.87,0.0
2016,CRNA.OL,OBX,Circio Holding ASA,Biotechnology & Medical Research,Health Care,0.04,0.0,119.55,45.0,-4.4399999999999995,401.17,0.0
2017,CRNA.OL,OBX,Circio Holding ASA,Biotechnology & Medical Research,Health Care,0.04,0.0,119.96000000000001,45.57,-4.0,507.16,0.0
2018,CRNA.OL,OBX,Circio Holding ASA,Biotechnology & Medical Research,Health Care,0.03,0.0,146.13,64.01,-4.31,374.7,0.0
2019,CRNA.OL,OBX,Circio Holding ASA,Biotechnology & Medical Research,Health Care,2.25,0.0,148.5,80.29,-1.27,296.96,0.0
2020,CRNA.OL,OBX,Circio Holding ASA,Biotechnology & Medical Research,Health Care,0.62,0.0,100.78999999999999,45.04,-5.1,372.59,0.0
2021,CRNA.OL,OBX,Circio Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,94.3,37.44,-2.01,417.73,0.0
2022,CRNA.OL,OBX,Circio Holding ASA,Biotechnology & Medical Research,Health Care,10.0,0.0,110.91999999999999,47.23,-5.09,2.57,0.0
2023,CRNA.OL,OBX,Circio Holding ASA,Biotechnology & Medical Research,Health Care,0.12,0.0,98.31,49.89,-14.520000000000001,-98.54,0.0
2024,CRNA.OL,OBX,Circio Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,42.48,11.69,-5.38,-12.51,0.0
