Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2005,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,244.01,244.11,0.0,0.0,-1.02,55.59,0.0
2006,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,198.98,196.76,0.0,0.0,-1.11,61.11,0.0
2007,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,191.0,189.29000000000002,0.0,0.0,0.0,67.48,0.0
2008,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,145.71,143.84,0.0,0.0,-0.68,71.91,0.0
2009,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,79.64,93.23,0.0,0.0,-0.43,68.14,0.0
2010,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,83.18,87.34,0.0,0.0,-0.15,60.75,0.0
2011,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,81.21,73.96000000000001,0.0,0.0,-0.13,61.03,0.0
2012,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,82.06,82.8,0.0,0.0,-0.11,57.72,0.0
2013,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,64.61,64.58,0.0,0.0,-0.02,62.6,0.0
2014,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,64.92,64.22,0.0,0.0,-0.03,67.39,0.0
2015,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,74.84,70.76,0.0,0.0,-0.03,74.63,0.0
2016,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,70.79,69.24,0.0,0.0,-0.01,79.88,0.0
2017,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,49.36,43.31,0.0,0.0,0.0,88.18,0.0
2018,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,55.71,50.89,0.0,0.0,-0.01,89.96,0.0
2019,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,42.7,42.43,0.0,0.0,0.0,94.06,0.0
2020,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,30.98,33.3,0.0,0.0,-0.05,99.04,0.0
2021,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,36.64,35.7,0.0,0.0,-0.03,119.88,0.0
2022,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,28.7,29.08,0.0,0.0,-0.06,91.25,0.0
2023,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,31.69,29.12,0.0,0.0,-0.11,112.2,0.0
2024,DANT.CO,COX,Dantax A/S,"Computers, Phones & Household Electronics",Information Technology,41.32,39.65,0.0,0.0,-0.17,122.08,0.0
