Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2004,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,7857.73,6130.410000000001,248.54,0.0,39.99,2054.39,0.0,0.7003490087081805,89.77,0.0
2005,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,8350.18,7064.41,0.0,0.0,0.0,4106.28,0.0,0.31312282649989787,104.93,0.0
2006,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,7906.97,6704.09,270.73,0.0,46.75,4432.44,0.0,0.19975453700444906,130.17,0.0
2007,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,17171.98,14139.8,0.0,0.0,0.0,7125.58,0.0,0.42553448280701367,114.55,0.0
2008,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,23978.73,20760.0,495.07,0.0,28.94,11809.14,0.0,0.22818935163779916,178.59,0.0
2009,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,11029.53,10089.49,405.31,0.0,16.78,10456.76,0.0,0.049532551191765035,248.07,0.0
2010,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,13247.52,12099.66,0.0,0.0,0.0,11631.87,0.0,0.09868232708928147,299.24,0.0
2011,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,12733.52,11877.36,90.84,0.0,0.0,11919.45,0.0,0.06420766058836605,454.84,0.0
2012,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,12393.95,11796.83,288.85,0.0,45.98,9385.71,0.0,0.027945674861038834,514.82,0.0
2013,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,12612.96,12674.7,307.49,0.0,55.88,9735.3,0.0,-0.04366686183271205,464.6,0.0
2014,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,12851.75,14628.57,351.95,0.0,80.18,8512.78,0.0,-0.25948632526624665,429.98,0.0
2015,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,13331.45,13364.13,406.44,0.0,109.06,7567.43,0.0,-0.07243938827316519,552.74,0.0
2016,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,10505.22,10389.03,382.23,0.0,134.81,6921.74,0.0,-0.057911738955811885,416.36,0.0
2017,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,14949.43,14424.73,402.47,0.0,93.85,6847.95,0.0,0.004144305960177967,349.09,0.0
2018,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,19955.47,19264.99,487.0,0.0,129.04,7142.49,0.0,0.010422135697774806,360.66,0.0
2019,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,22733.35,21661.75,681.85,0.0,322.89,7540.65,0.0,0.00886660964240464,1380.42,0.0
2020,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,24447.49,22330.05,876.15,0.0,284.20000000000005,7741.55,0.0,0.12363028075772968,1900.05,0.0
2021,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,30526.59,27540.8,1009.02,0.0,300.81,8747.7,0.0,0.19158864615841886,2539.73,0.0
2022,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,51038.5,42502.299999999996,1986.82,0.0,485.18,13036.2,0.0,0.4651815713167951,4320.46,0.0
2023,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,38954.56,34204.34,1299.93,0.0,561.33,12140.84,0.0,0.2379538812800433,3456.63,67.53
2024,DNORD.CO,Dampskibsselskabet Norden A/S,Freight & Logistics Services,Industrials,43405.98,41420.53,885.2900000000001,0.0,449.09,14742.45,0.0,0.04416294442239956,3280.08,85.95
