Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2004,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,239.95,0.0,44.93,0.0,7.33,80.98,6.12
2005,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,276.57,0.0,43.19,0.0,9.24,92.58,6.81
2006,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,323.95,0.0,36.97,0.0,10.63,104.69,7.25
2007,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,337.69,0.0,42.2,6.81,10.41,109.65,8.02
2008,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,303.96,0.0,45.21,7.45,16.43,138.98,10.27
2009,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,310.16,0.0,52.21,7.69,12.43,123.54,7.91
2010,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,315.3,0.0,54.53,7.47,16.35,128.44,6.94
2011,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,353.82,0.0,67.41,7.34,14.49,139.65,8.05
2012,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,327.77,173.62,130.31,7.93,0.0,143.69,7.65
2013,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,354.11,174.94,138.07999999999998,0.0,0.0,167.76,8.86
2014,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,383.01,183.24,142.88,0.0,0.0,172.44,9.02
2015,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,412.42,183.4,160.17000000000002,0.0,0.0,195.21,10.07
2016,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,409.91,208.28,157.12,0.0,0.0,220.62,9.07
2017,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,367.9,195.08,137.38,0.0,0.0,240.75,11.04
2018,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,404.99,189.86,155.88,0.0,0.0,238.95,10.74
2019,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,387.74,189.53,161.23000000000002,0.0,0.0,250.41,10.06
2020,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,393.17,185.81,139.55,0.0,0.0,241.09,0.08
2021,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,330.68,201.19,133.12,0.0,0.0,266.43,0.09
2022,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,430.8,235.07,145.32,0.0,0.0,288.25,0.12
2023,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,389.33,189.1,162.91,0.0,0.0,266.67,0.11
2024,ELEAV.HE,HEX,Elecster Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,394.08,180.77,174.12,0.0,0.0,267.27,0.11
