Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2004,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,602.64,0.0,0.0,0.0,2.26,241.31,0.0
2005,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,627.27,0.0,50.87,50.87,0.88,288.06,0.0
2006,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,652.71,0.0,56.91,56.91,0.0,345.52,0.0
2007,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,711.28,0.0,78.78,78.78,0.07,365.53,0.0
2008,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,784.83,0.0,103.55,103.55,0.46,487.65,0.0
2009,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,640.06,0.0,103.58,103.58,0.56,417.48,0.0
2010,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,375.04,0.0,82.76,82.76,0.0,444.76,0.0
2011,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,385.83,0.0,80.51,80.51,0.0,360.89,0.0
2012,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,402.04,107.58,217.52,73.18,0.0,314.35,0.0
2013,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,368.7,88.43,190.89999999999998,81.55,0.0,349.82,0.0
2014,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,394.35,96.59,195.51,80.74,0.0,383.68,0.0
2015,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,460.35,124.93,213.47000000000003,87.29,0.0,417.47,0.0
2016,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,492.27,130.64,228.1,89.82,0.0,401.09,0.0
2017,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,569.77,0.0,94.03,94.03,0.0,754.69,0.0
2018,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,788.5,176.64,397.63,127.61,-3.7,962.04,0.0
2019,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,941.79,200.13,427.56,155.38,-43.67,1388.93,0.0
2020,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,950.91,218.48,431.41999999999996,143.82,-9.02,1553.23,0.0
2021,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,889.44,8.83,526.74,266.76,-11.309999999999999,1730.33,0.0
2022,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,916.65,201.79,578.1,283.76,-17.900000000000002,2156.63,0.0
2023,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,930.11,212.67,1188.5800000000002,826.59,-81.60000000000001,1692.66,0.0
2024,ENEA.ST,STX,Enea AB,Software & IT Services,Information Technology,935.83,198.06,589.13,276.06,-90.64,1903.2,0.0
