Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2006,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,10.18,17.68,7.15,0.0,0.0,467.32,0.0,-0.03134896858683557,0.0,3.2
2007,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,62.61,96.86,30.25,0.0,0.0,448.57,0.0,-0.1437902668479836,0.0,10.27
2008,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,65.73,116.67,30.64,0.0,0.0,515.08,0.0,-0.1583831637803836,0.0,0.0
2009,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,88.64,148.6,26.84,0.0,0.0,392.52,0.0,-0.22113522877815142,0.0,0.0
2010,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,91.52,148.77,38.08,0.0,0.0,356.28,0.0,-0.26757045020770187,0.0,17.23
2011,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,135.31,104.24,31.830000000000002,0.0,4.28,362.15,0.0,-0.013916885268535123,0.0,17.12
2012,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,108.55,123.73,28.71,0.0,3.66,313.44,0.0,-0.15170367534456358,0.0,15.85
2013,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,141.95,119.23,27.29,0.0,3.58,358.66,0.0,-0.022723470696481386,0.0,15.88
2014,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,174.58,148.94,33.879999999999995,0.0,3.69,399.09,0.0,-0.029893006589992183,0.0,21.4
2015,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,170.43,177.08,38.17,0.0,4.94,393.86,0.0,-0.12633930838368965,0.0,26.16
2016,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,215.14,206.0,41.519999999999996,0.0,5.43,358.04,0.0,-0.10560272595240758,0.0,27.84
2017,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,292.37,257.03,47.73,0.0,6.62,416.79,0.0,-0.04561049929220942,0.0,31.99
2018,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,384.39,337.15,61.58,0.0,6.46,491.09,0.0,-0.04235476185627887,0.0,39.28
2019,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,504.36,418.25,92.64,0.0,13.04,516.95,0.0,-0.037856659251378245,0.0,62.18
2020,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,526.05,490.63,102.45,0.0,0.0,680.72,0.0,-0.09846926783405811,0.0,66.14
2021,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,578.0,261.85,258.36,0.0,19.880000000000003,713.82,0.0,0.05310862682468964,0.0,59.79
2022,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,664.96,252.74,288.45,0.0,22.630000000000003,963.28,0.0,0.10499543227306707,0.0,68.79
2023,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,802.18,401.66,349.03999999999996,0.0,53.13,1083.7,0.0,-0.0015225615945372716,0.0,78.33
2024,FFARMS.CO,COX,Firstfarms A/S,Food & Tobacco,Consumer Staples,819.49,362.24,402.66,0.0,72.71000000000001,1292.6,0.09,-0.014017281792231731,0.0,97.18
