Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1998,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,25083.92,19658.36,3770.82,0.0,471.49,4901.93,1813.14,0.17620814079376645
1999,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,23467.18,18086.93,4054.47,0.0,356.6,6613.1,1993.26,0.11261206828438505
2000,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,20905.2,16038.39,4417.25,0.0,450.65,8368.97,452.08,-0.00012356805595690622
2001,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,20437.37,15395.5,4034.57,0.0,506.35,6995.92,367.7,0.06803039809224251
2002,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,16620.19,13320.21,3213.0600000000004,0.0,268.85,5304.59,309.67,-0.0324049830253677
2003,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,16065.63,13467.94,2962.95,0.0,181.01,3021.72,263.64,-0.16627401563299035
2004,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,12182.47,10534.36,1555.86,0.0,45.0,2837.23,27.71,0.016492491989360637
2005,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,11021.32,8969.74,1555.89,0.0,20.43,2831.34,4.28,0.16760355759939616
2006,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,13281.46,10474.35,1866.38,0.0,31.29,3518.34,4.41,0.2581619473422748
2007,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,21476.22,16881.32,2410.3900000000003,0.0,80.67,4472.88,10.64,0.4692384554992508
2008,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,27938.01,21727.23,3133.57,0.0,122.65,6540.45,28.7,0.4497629069209865
2009,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,27123.94,20785.56,3332.17,0.0,68.0,7362.29,25.64,0.39770409302741055
2010,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,21701.41,16103.51,3115.56,0.0,65.58,8450.19,56.44,0.284103105460094
2011,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,21487.44,15996.83,2933.63,0.0,57.54,9220.39,48.91,0.269647114668853
2012,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,26398.75,19844.26,3781.43,0.0,80.35,9223.76,48.24,0.2904130716134601
2013,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,26688.41,21606.7,3868.89,0.0,171.76,7700.54,38.01,0.1345290784449282
2014,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,22984.55,17238.13,3426.55,0.0,133.43,9372.32,49.78,0.2320544252342894
2015,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,23606.51,17674.3,3758.91,0.0,117.54,10222.92,45.02,0.20021153220607046
2016,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,22699.28,16983.28,3771.99,252.05,131.01,10296.47,50.13,0.19958730404190753
2017,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,22582.15,16814.92,3672.11,265.97,101.62,10582.68,50.27,0.21249700224302784
2018,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,24158.63,18111.88,3767.46,372.36,132.71,10954.45,13.27,0.22966851816056572
2019,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,27228.1,20833.2,3815.31,398.28,118.7,11567.93,18.45,0.24676991433044643
2020,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,23656.78,18095.47,3981.41,446.06,115.11,11455.22,-8.45,0.1669335541816598
2021,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,24027.8,18315.03,3854.07,401.81,114.8,13964.42,-4.04,0.1536999709176971
2022,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,29653.49,22764.33,5257.8,461.45,116.72,15248.9,-36.67,0.12990140170113124
2023,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,36917.33,27595.34,6818.049999999999,577.36,246.57,16291.61,-43.52,0.17446542947509533
2024,FLS.CO,FLSmidth & Co A/S,Metals & Mining,Materials,24526.32,16725.89,4928.639999999999,425.39,218.15,18623.01,-31.56,0.1656153769609149
