Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
1997,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,80695.13,64274.85,4730.32,0.0,4746.3,29452.3,2381.46
1998,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,71948.68,55304.09,5488.9,0.0,4929.85,33670.84,1878.05
1999,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,68402.52,52440.27,5226.58,0.0,4370.72,36958.0,1016.97
2000,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,86086.99,69249.17,4923.2,0.0,5515.28,30906.12,10582.93
2001,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,83727.53,67199.18,5067.08,0.0,4359.3,33574.31,10116.1
2002,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,83691.31,65193.34,5322.67,0.0,5360.21,42876.79,10413.77
2003,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,91174.21,68700.79,4393.84,0.0,5122.15,53772.09,1947.41
2004,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,32088.78,15856.12,3363.67,108.78,0.0,61783.97,1235.68
2005,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,31052.33,13872.23,3243.8,112.13,0.0,57096.07,2075.93
2006,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,36125.24,16908.32,4086.31,0.0,1415.73,65041.35,2080.86
2007,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,35880.71,16206.0,3965.38,168.23,1762.39,66275.67,2315.17
2008,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,46415.42,21675.9,4834.25,222.36,2890.67,77218.54,4436.62
2009,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,47432.37,22140.92,4319.97,261.82,2103.26,66632.56,3790.28
2010,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,50386.84,27258.19,4297.61,240.09,1576.59,63938.17,4143.13
2011,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,48007.45,24716.71,4122.05,296.1,2212.97,74519.89,4092.71
2012,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,46030.79,24005.67,4058.24,306.42,2242.12,73684.5,792.7
2013,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,41455.85,22574.66,3591.96,0.0,2350.39,83572.76,842.15
2014,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,34161.77,18401.23,3083.58,342.62,2080.79,98198.52,641.76
2015,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,30939.58,16646.01,3139.58,420.4,1815.77,132422.76,662.4
2016,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,33734.62,20461.83,7607.01,482.98,1569.7,122200.11,762.73
2017,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,42172.62,25798.07,9320.9,494.5,1530.16,128459.27,2352.99
2018,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,50330.82,31982.44,10110.33,537.68,1421.02,117316.78,2338.21
2019,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,53625.18,32448.79,4725.55,659.61,1644.1,127760.43,2479.83
2020,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,525598.56,486716.17,12814.25,600.5,1822.95,135698.02,27489.51
2021,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,65258.31,40707.69,10944.13,548.73,1564.9,121449.28,15357.61
2022,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,78468.93,53173.96,4360.51,0.0,2018.75,80414.34,702.45
2023,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,76555.11,47534.66,11772.44,638.81,3068.59,94390.55,671.1
2024,FORTUM.HE,HEX,Fortum Oyj,Electric Utilities & IPPs,Utilities,67393.72,42690.43,11573.13,360.21,2626.03,106785.1,929.59
