Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2015,GENT.OL,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,Health Care,20.33,5.74,21.74,13.52,0.44,95.06,0.0,0.06238165369240478,0.0,1.22
2016,GENT.OL,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,Health Care,24.37,7.87,33.08,11.55,0.0,115.54,0.0,-0.04353470659511855,0.0,2.3
2017,GENT.OL,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,Health Care,27.94,7.26,43.940000000000005,16.55,0.01,196.48,0.0,-0.03420195439739416,0.0,3.02
2018,GENT.OL,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,Health Care,39.91,8.97,58.699999999999996,13.89,0.0,245.87,0.0,-0.056411925001016786,0.0,3.9
2019,GENT.OL,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,Health Care,47.95,25.45,57.09,19.21,0.36,208.24,0.0,-0.07558586246638493,0.0,6.13
2020,GENT.OL,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,Health Care,63.33,32.59,64.12,23.89,0.55,194.58,0.0,-0.05159831431801834,0.0,6.63
2021,GENT.OL,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,Health Care,83.12,43.18,79.67999999999999,24.42,1.38,174.77,0.0,-0.095554156891915,0.0,7.35
2022,GENT.OL,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,Health Care,101.64,52.64,82.52,22.82,1.25,154.17,0.0,-0.0775118375818901,0.0,10.24
2023,GENT.OL,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,Health Care,135.15,66.75,81.88999999999999,25.01,0.79,146.64,0.0,0.0731723949809058,0.0,9.57
2024,GENT.OL,Gentian Diagnostics ASA,Healthcare Equipment & Supplies,Health Care,152.07,69.25,71.7,21.92,0.66,194.05,0.0,0.16686421025508885,0.0,0.0
