Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2012,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,68.62,0.0,0.0,0.0,8.54,606.01,0.0,0.09914027821323082
2013,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,179.06,0.0,0.0,0.0,12.18,2142.01,0.0,0.07790813301525203
2014,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,749.32,0.0,232.07,0.0,49.51,2635.51,0.0,0.17747608622240096
2015,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,1712.65,0.0,313.63000000000005,0.0,123.16,3563.84,0.0,0.3580014815479931
2016,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,1634.78,0.0,310.88,0.0,164.17,3409.04,0.0,0.3401925468753667
2017,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,2863.92,485.75,540.22,0.0,217.08,3264.9,0.0,0.4964531838647432
2018,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,2998.91,471.73,557.2,0.0,256.45,4933.38,0.0,0.34733387657143777
2019,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,7283.53,493.28,1416.3100000000002,0.0,589.53,9818.68,0.0,0.4872762937584278
2020,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,8226.01,608.11,1691.26,0.0,441.79,9847.76,0.0,0.5569642233360683
2021,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,6972.15,505.95,1482.65,0.0,335.23,9793.16,0.0,0.4746496534315788
2022,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,18509.2,816.37,2264.57,0.0,875.18,19681.21,0.0,0.7394403088021521
2023,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,28190.13,983.1,2489.69,0.0,816.52,22578.21,0.0,1.0585790459031077
2024,HAFNI.OL,Hafnia Ltd,Oil & Gas Related Equipment and Services,Energy,30820.14,1048.84,2762.08,0.0,562.71,25714.96,0.0,1.0284484206858577
