Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2010,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,0.17,0.0,12.38,0.0,0.13,75.97,0.0,-0.16243253916019484,0.0,0.08
2011,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,1.18,0.46,25.029999999999998,0.0,1.43,120.53,0.0,-0.21355679084045465,0.0,2.72
2012,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,26.02,23.96,60.3,0.0,5.06,47.72,0.0,-1.326487845766974,0.0,7.91
2013,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,62.94,25.31,85.11,1.69,5.63,62.0,0.0,-0.8293548387096775,0.0,12.56
2014,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,19.77,14.62,64.58,2.82,7.07,78.95,0.0,-0.8065864471184293,0.0,14.08
2015,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,55.14,65.37,81.05000000000001,4.38,9.39,32.55,0.0,-2.9582181259600624,0.0,16.53
2016,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,20.2,101.41,55.83,1.79,10.35,53.56,0.0,-2.7184466019417473,0.0,18.57
2017,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,66.23,54.93,74.74,0.0,3.32,37.08,0.0,-1.8004314994606254,0.0,21.69
2018,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,60.74,48.36,90.08,0.0,3.83,86.04,0.0,-0.9475825197582518,0.0,22.19
2019,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,67.78,59.57,87.78,0.13,17.150000000000002,117.75,0.0,-0.8202972399150743,0.0,27.46
2020,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,52.51,39.53,121.74,7.56,18.43,263.76,0.0,-0.45355626326963905,0.0,26.77
2021,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,76.88,64.52,141.66,8.87,18.78,140.38,0.0,-0.9916654794130216,0.0,29.35
2022,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,119.13,91.93,156.94,13.64,19.9,148.03,0.0,-0.9187326893197326,0.0,30.22
2023,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,190.82,150.69,170.35999999999999,11.01,16.31,41.14,0.0,-3.294360719494409,0.0,36.41
2024,HBC.OL,Hofseth Biocare ASA,Food & Tobacco,Consumer Staples,256.83,169.55,201.07000000000002,9.32,23.86,59.36,0.0,-2.1618935309973053,0.0,39.78
