Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2011,IMMUN.ST,STX,Mendus AB (publ),Biotechnology & Medical Research,Health Care,0.0,0.0,2.37,0.0,0.0,3.34,0.0
2012,IMMUN.ST,STX,Mendus AB (publ),Biotechnology & Medical Research,Health Care,0.0,0.0,3.66,0.0,0.0,3.81,0.0
2013,IMMUN.ST,STX,Mendus AB (publ),Biotechnology & Medical Research,Health Care,0.0,0.0,6.08,0.0,0.0,22.27,0.0
2014,IMMUN.ST,STX,Mendus AB (publ),Biotechnology & Medical Research,Health Care,0.0,0.0,15.86,0.0,0.0,91.95,0.0
2015,IMMUN.ST,STX,Mendus AB (publ),Biotechnology & Medical Research,Health Care,0.0,0.0,33.53,0.0,-0.02,61.19,0.0
2016,IMMUN.ST,STX,Mendus AB (publ),Biotechnology & Medical Research,Health Care,0.0,0.0,34.92,0.0,-0.09,97.09,0.0
2017,IMMUN.ST,STX,Mendus AB (publ),Biotechnology & Medical Research,Health Care,0.0,0.0,78.29,0.0,-0.26,189.68,0.0
2018,IMMUN.ST,STX,Mendus AB (publ),Biotechnology & Medical Research,Health Care,0.0,0.0,91.8,66.42,-0.01,396.24,0.0
2019,IMMUN.ST,STX,Mendus AB (publ),Biotechnology & Medical Research,Health Care,0.0,0.0,57.269999999999996,45.58,-0.11,-5.32,0.0
2020,IMMUN.ST,STX,Mendus AB (publ),Biotechnology & Medical Research,Health Care,0.0,0.0,88.04999999999998,49.01,-0.09,690.31,0.0
2021,IMMUN.ST,STX,Mendus AB (publ),Biotechnology & Medical Research,Health Care,0.0,0.0,130.42999999999998,85.99,-3.33,639.85,0.0
2022,IMMUN.ST,STX,Mendus AB (publ),Biotechnology & Medical Research,Health Care,1.7,0.0,130.23,82.71,0.0,484.22,0.0
2023,IMMUN.ST,STX,Mendus AB (publ),Biotechnology & Medical Research,Health Care,0.0,0.0,129.66,92.22,-3.1,709.49,0.0
2024,IMMUN.ST,STX,Mendus AB (publ),Biotechnology & Medical Research,Health Care,0.0,0.0,138.01,102.79,-1.24,663.27,0.0
