Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2000,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,7.48,5.42,1.03,0.0,0.0,26.78,0.0,0.0384615384615384,0.97,0.0,10.73
2001,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,4.42,2.93,0.0,0.0,0.0,21.63,0.0,0.0688858067498844,0.93,0.0,9.06
2002,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,4.71,2.79,0.0,0.0,0.0,20.49,0.0,0.0937042459736456,0.88,0.0,8.27
2003,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,6.38,2.88,0.0,0.0,0.0,26.35,0.0,0.1328273244781783,0.94,0.0,12.27
2004,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,6.96,2.78,0.0,0.0,0.0,29.76,0.0,0.1404569892473118,1.0,0.0,17.39
2005,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,6.38,3.42,0.0,0.0,0.0,29.45,0.0,0.1005093378607809,0.99,0.0,23.73
2006,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,10.32,3.51,0.0,0.0,0.0,36.3,0.0,0.187603305785124,1.01,0.0,27.52
2007,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,5.58,3.4800000000000004,0.0,0.0,0.0,34.96,0.0,0.0600686498855835,0.99,0.0,27.3
2008,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,5.95,3.61,0.0,0.0,0.0,42.69,0.0,0.0548137737174982,1.03,0.0,16.16
2009,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,6.3,3.93,0.0,0.0,0.0,38.57,0.0,0.0614467202488981,1.09,0.0,25.52
2010,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,5.57,4.140000000000001,0.0,0.0,0.0,38.26,0.0,0.0373758494511238,0.96,0.0,25.36
2011,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,4.75,4.41,0.0,0.0,0.0,35.88,0.0,0.0094760312151616,1.16,0.0,19.91
2012,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,4.84,4.41,0.0,0.0,0.0,34.59,0.0,0.0124313385371494,1.38,0.0,16.93
2013,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,5.17,5.09,0.0,0.0,0.27,38.68,0.0,-0.0049120992761116,1.58,0.0,20.04
2014,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,6.28,2.26,2.7,0.0,0.33,53.32,0.0,0.0185671417854463,0.0,0.0,35.82
2015,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,12.86,4.1,3.28,0.0,0.73,171.51,0.0,0.0276951781237245,0.0,0.0,98.04
2016,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,29.11,10.6,5.46,0.0,2.63,197.0,0.0,0.0528934010152284,0.0,0.0,101.96
2017,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,60.17,30.42,7.17,0.0,4.28,454.14,0.19,0.0402790922897453,0.0,0.0,240.7
2018,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,79.46,39.5,8.4,0.0,6.03,463.83,26.46,0.0520712231536437,0.0,0.0,196.4
2019,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,112.83,51.52,8.62,0.0,12.13,442.49,168.83,0.0663482300595432,0.0,0.0,220.16
2020,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,101.5,53.68,14.41,0.0,12.21,390.27,10.65,0.0528783797266287,0.0,0.0,226.71
2021,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,99.22,67.69,10.58,0.0,7.1,359.37,4.76,0.0380358663114821,7.11,0.0,212.09
2022,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,76.74,48.02,10.33,0.0,4.9,336.68,4.46,0.039543882277071,0.62,0.0,197.45
2023,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,78.22,65.27,9.18,0.0,8.38,376.03,3.75,-0.0121386065616936,6.84,0.0,228.2
2024,INVEST.HE,Investors House Oyj,Real Estate Operations,Real Estate,115.92,75.03999999999999,11.4,0.0,19.63,451.0,106.71,0.0176615086693801,17.43,0.0,243.77
