Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2005,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,52.05,21.1,8.14,0.0,-7.86,316.58,0.0
2006,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,264.12,105.64,68.77,0.0,0.0,232.4,0.0
2007,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,406.35,63.71,109.62,0.0,-83.61,-50.0,0.0
2008,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,650.16,277.55,25.68,0.0,-74.64,35.29,0.0
2009,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,630.81,352.48,55.3,0.0,-92.16,-272.15,0.0
2010,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,632.98,372.29,21.09,0.0,-89.0,-282.06,0.0
2011,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,827.06,183.42,59.97,0.0,-77.91,-235.39,0.0
2012,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,687.7,199.44,127.53,0.0,-67.77,-352.37,0.0
2013,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,258.74,74.68,96.05,0.0,-56.91,-66.57,0.0
2014,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,260.7,90.5,88.47,0.0,-52.99,-69.08,0.0
2015,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,152.61,56.34,84.88,0.0,-29.62,33.41,0.0
2016,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,126.64,48.3,69.68,0.0,-26.13,-8.33,0.0
2017,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,137.23,46.44,60.24,0.0,-22.87,-54.61,0.0
2018,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,173.54,74.85,88.25,0.0,-25.53,-119.44,0.0
2019,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,144.17,60.05,31.38,0.0,-27.35,-90.27,0.0
2020,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,84.23,56.91,24.69,0.0,-33.75,-51.7,0.0
2021,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,108.83,50.71,22.65,0.0,-1.76,-37.01,0.0
2022,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,182.53,63.69,46.79,0.0,-24.43,-29.15,0.0
2023,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,202.67,84.4,107.96,0.0,-30.07,-170.06,0.0
2024,IOX.OL,OBX,Interoil Exploration and Production ASA,Oil & Gas,Energy,180.61,177.62,62.2,0.0,-62.71,-366.32,0.0
