Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,885.76,1516.32,0.0,0.0,4.13,180.61,0.0,-3.514146503515862
2005,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,982.73,1649.64,0.0,0.0,5.15,235.1,0.0,-2.858613356018716
2006,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1069.69,1828.28,0.0,0.0,7.85,290.06,0.0,-2.642349858649934
2007,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1240.7,2131.4,0.0,0.0,12.46,311.28,0.0,-2.901439218709844
2008,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1156.94,2014.08,0.0,0.0,14.37,344.99,0.0,-2.52618916490333
2009,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,942.11,1629.32,0.0,0.0,5.79,337.57,0.0,-2.0529075451017564
2010,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1182.28,2021.9,0.0,0.0,4.76,422.91,0.0,-1.9965950202170677
2011,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1333.78,2254.52,0.0,0.0,7.5,481.15,0.0,-1.9292112646783748
2012,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1117.72,1873.3,87.45,0.0,6.3,515.58,0.0,-1.6473292214593271
2013,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1141.57,1930.66,94.7,0.0,4.8,598.03,0.0,-1.4858619132819426
2014,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1222.68,2077.68,98.65,0.0,3.73,640.53,0.0,-1.4946684776669317
2015,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1614.86,2803.3,110.91,0.0,3.82,752.48,0.0,-1.731833404210079
2016,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,2008.1,3415.24,141.4,0.0,5.89,775.72,0.0,-2.003854483576548
2017,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,2233.01,3819.16,144.28,0.0,0.97,907.59,0.0,-1.9076895955222066
2018,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,2577.16,4407.02,163.88,0.0,3.75,994.4,0.0,-2.008738938053098
2019,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,2194.32,3809.8,147.04000000000002,0.0,2.79,1022.05,0.0,-1.7272246954649968
2020,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,2182.06,3887.18,134.07,0.0,4.09,1202.92,0.0,-1.5323379775878692
2021,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,3273.21,5612.36,211.47,0.0,3.01,1265.59,0.0,-2.017738762158361
2022,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,3484.18,5976.4,236.58,0.0,1.9,1378.95,0.94,-1.9789258564088439
2023,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,4064.71,6955.0,295.6,0.0,3.98,1633.98,3.02,-1.9486072083078803
2024,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,3860.52,6687.78,300.02,0.0,3.05,1809.45,2.06,-1.7280224784848
