Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2003,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,2384.9,434.42,575.89,0.0,-291.02,3581.45,0.0
2004,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,2795.93,476.66,687.93,0.0,-311.62,3580.57,0.0
2005,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,2944.47,718.7,796.98,0.0,-244.73,3653.44,0.0
2006,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,3111.13,512.55,916.57,0.0,-213.5,3792.92,0.0
2007,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,3145.66,514.99,955.44,0.0,-169.62,3973.14,0.0
2008,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,3440.18,643.18,1007.36,0.0,-194.79,4169.16,0.0
2009,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,3426.9,557.51,1041.04,0.0,-308.46999999999997,3556.95,0.0
2010,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,3481.84,621.93,973.8,0.0,-315.43,3637.61,0.0
2011,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,3498.38,625.96,1000.93,0.0,-248.06,3034.51,0.0
2012,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,3531.15,576.3,1039.82,0.0,-229.29999999999998,3545.98,0.0
2013,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,3817.04,603.37,1124.85,0.0,-250.95000000000002,3242.77,0.0
2014,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,4336.44,670.4,1269.71,0.0,-262.82,3454.04,0.0
2015,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,4871.83,701.65,1464.58,0.0,-271.78,3848.36,0.0
2016,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,5517.48,766.87,1633.32,0.0,-254.16999999999996,3714.72,0.0
2017,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,5569.51,623.14,1674.47,0.0,-285.90999999999997,4170.1,0.0
2018,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,5726.95,752.33,1740.32,0.0,-285.14,4095.05,0.0
2019,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,5731.14,702.79,1905.02,0.0,-267.71999999999997,4293.8,0.0
2020,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,2267.26,505.05,1987.25,0.0,-261.01,3743.79,0.0
2021,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,2406.61,578.93,1499.26,0.0,-261.45,3385.88,919.92
2022,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,4793.63,963.61,1948.94,0.0,-267.36,3803.41,902.55
2023,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,6219.25,1099.59,2546.81,0.0,-522.23,4279.6,879.33
2024,KBHL.CO,COX,Copenhagen Airports A/S,Transport Infrastructure,Other,7900.15,1118.8,2770.51,0.0,-559.4,6080.37,888.46
