Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2007,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,4.99,1.54,27.51,0.0,0.0,480.94,0.0,-0.05002703039880235,0.0,0.0
2008,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,50.46,11.02,71.34,0.0,0.0,507.97,0.0,-0.06279898419197985,0.0,0.11
2009,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,61.76,14.38,18.799999999999997,0.0,0.0,427.32,0.0,0.06688196199569409,0.0,0.15
2010,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,65.09,16.68,23.39,0.0,17.61,461.81,0.0,0.016045559862281032,0.0,0.22
2011,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,66.0,17.03,21.139999999999997,0.0,16.14,470.54,0.0,0.02484379648914014,0.0,0.15
2012,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,73.15,17.43,20.77,0.0,18.62,449.03,0.0,0.036367280582589145,0.0,0.16
2013,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,75.83,16.65,18.41,0.0,16.97,475.82,0.0,0.05001891471564877,0.0,0.11
2014,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,79.93,14.72,18.63,0.0,19.35,289.81,0.0,0.09395811048618063,0.0,0.04
2015,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,83.57,13.79,14.81,0.0,26.12,194.48,0.0,0.14834430275606747,0.0,0.0
2016,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,52.03,9.82,17.18,0.0,17.42,94.71,0.0,0.08035054376517792,0.0,0.05
2017,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,25.08,10.27,8.29,0.0,16.05,82.02,0.0,-0.1161911728846623,0.0,0.03
2018,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,12.87,10.87,10.209999999999999,0.0,14.67,22.78,0.0,-1.0043898156277435,0.0,0.02
2019,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,25.54,11.13,9.719999999999999,0.0,12.36,41.43,0.0,-0.185131547188028,0.0,0.02
2020,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,51.8,2.82,18.54,0.0,22.34,1243.12,0.0,0.006515863311667416,0.0,0.02
2021,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,204.98,2.55,64.05,0.0,82.1,1836.0,0.0,0.03065359477124183,0.0,0.0
2022,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,273.0,3.0,83.0,0.0,143.0,2377.0,0.0,0.01851072780816155,0.0,0.0
2023,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,0.0,0.0,0.0,0.0,0.0,2798.5,0.0,0.0,0.0,0.0
2024,KMCP.OL,OBX,Kmc Properties ASA,Real Estate Operations,Real Estate,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
