Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,179484.66,0.0,135190.62,0.0,60.75,113285.38,543.06,0.38859611886098067
2005,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,224406.97,0.0,171740.12,0.0,195.7,132150.03,724.97,0.3948910630291628
2006,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,280640.04,0.0,226669.48,0.0,217.92,142415.44,8461.45,0.35626821311070217
2007,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,299950.75,0.0,231858.64,0.0,150.58,147015.66,9055.35,0.4353244718541898
2008,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,344538.57,0.0,255714.82,0.0,181.21,195105.88,11550.49,0.4289368868716701
2009,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,305236.39,0.0,251499.69,4249.03,0.0,165862.23,11247.45,0.3274001172606715
2010,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,339073.5,0.0,243625.36,0.0,0.0,189756.69,11921.2,0.4732702231265907
2011,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,337429.59,70613.09,146732.49,0.0,0.0,202054.45,14331.14,0.5549538210931698
2012,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,288004.85,25523.94,98720.1,0.0,4254.49,205252.45,13506.96,0.7291403830354085
2013,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,278520.81,78050.01999999999,100050.25,0.0,3985.08,241614.66,16281.95,0.37393070036864773
2014,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,299957.26,84414.8,107720.78,0.0,3379.87,310401.82,5103.38,0.3310303918921147
2015,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,324999.17,104511.25,125458.65,0.0,3346.1,310162.06,5763.55,0.29020493147105103
2016,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,228930.89,105825.75,86749.58,0.0,4408.01,269975.35,7185.98,0.11526698186936833
2017,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,255783.6,111810.79,88559.23999999999,0.0,5207.42,251208.06,6696.91,0.19466918376951017
2018,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,319761.69,290016.04,1481.58,0.0,6602.0,281699.37,6660.44,0.07512166830738314
2019,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,342157.18,207168.3,49497.98,0.0,8437.35,246655.48,6487.24,0.3043877777721595
2020,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,373986.97,214331.98,49021.09,0.0,7585.15,256050.32,8612.21,0.3893590452717276
2021,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,531039.51,225507.22,54155.08,0.0,6669.47,391968.6,9511.24,0.6095143905606818
2022,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,783284.04,285859.43,69557.79000000001,0.0,7830.059999999999,626887.83,10198.16,0.6593093657576744
2023,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,538805.13,297295.08,77847.92,0.0,9432.91,547599.45,10743.21,0.27622682458116316
2024,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,596086.86,309034.33,81180.06,0.0,10765.27,646901.55,11706.67,0.29624167156613984
