Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2014,MAHAa.ST,STX,Maha Capital AB,Oil & Gas,Energy,6.74,2.82,7.57,0.0,0.0,190.4,0.0
2015,MAHAa.ST,STX,Maha Capital AB,Oil & Gas,Energy,4.31,3.09,10.57,0.0,0.0,192.59,0.0
2016,MAHAa.ST,STX,Maha Capital AB,Oil & Gas,Energy,0.0,0.0,19.03,0.0,0.0,268.92,0.0
2017,MAHAa.ST,STX,Maha Capital AB,Oil & Gas,Energy,102.39,30.52,43.45,0.0,0.0,395.59,0.0
2018,MAHAa.ST,STX,Maha Capital AB,Oil & Gas,Energy,271.3,52.18,34.37,0.0,-33.69,598.44,0.0
2019,MAHAa.ST,STX,Maha Capital AB,Oil & Gas,Energy,423.54,58.08,55.13,7.06,-33.5,771.26,0.0
2020,MAHAa.ST,STX,Maha Capital AB,Oil & Gas,Energy,312.34,90.97,57.85,1.96,-36.98,476.55,0.0
2021,MAHAa.ST,STX,Maha Capital AB,Oil & Gas,Energy,37.74,12.97,40.08,0.05,-59.47,805.15,0.0
2022,MAHAa.ST,STX,Maha Capital AB,Oil & Gas,Energy,89.84,27.17,47.29,0.0,-73.66,1380.3,0.0
2023,MAHAa.ST,STX,Maha Capital AB,Oil & Gas,Energy,41.76,18.58,52.94,0.0,-59.44,1569.17,0.0
2024,MAHAa.ST,STX,Maha Capital AB,Oil & Gas,Energy,70.92,23.46,88.06,0.0,-35.7,1360.87,0.0
