Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2004,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,842.99,422.68,440.16999999999996,0.0,7.13,193.66,0.0,-0.13936796447381988,0.0,38.519999999999996
2005,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,818.93,394.53,424.91999999999996,0.0,5.96,182.33,0.0,-0.03553995502660002,0.0,30.08
2006,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,963.07,477.38,462.3700000000001,0.0,5.82,205.0,0.0,0.08536585365853627,0.0,26.8
2007,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,1028.96,505.77,487.52,24.82,6.39,233.97,0.0,0.23122622558447692,0.0,28.24
2008,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,1162.47,540.72,536.9,26.38,6.97,327.57,0.0,0.3182831150593767,0.0,25.66
2009,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,832.13,410.81,420.95,22.34,4.22,263.43,0.0,0.07018942413544388,0.0,27.12
2010,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,867.46,446.68,413.14000000000004,14.69,2.18,242.72,0.0,0.08301746868820033,0.0,21.35
2011,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,1018.32,539.62,481.72999999999996,16.39,2.1,237.95,0.0,0.047320865728094436,0.0,20.64
2012,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,1066.4,552.0,540.85,16.3,3.89,193.55,0.0,-0.07253939550503734,0.0,25.22
2013,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,1033.02,552.64,513.18,0.0,3.58,179.88,0.0,-0.2022459417389368,0.0,27.72
2014,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,1135.81,612.13,525.71,0.0,3.5,183.67,0.0,-0.030108346490989746,0.0,31.45
2015,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,1188.03,658.94,490.3,0.0,3.8,217.56,0.0,0.16082919654348185,0.0,30.560000000000002
2016,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,1199.35,673.1,472.38,0.0,3.44,228.58,0.0,0.22062297663837557,0.0,27.009999999999998
2017,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,1022.0,598.9,439.59000000000003,0.0,2.72,222.75,0.0,-0.08624017957351295,0.0,24.61
2018,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,989.91,590.11,451.31,17.79,2.17,186.18,0.0,-0.19277043721130105,0.0,24.73
2019,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,1045.6,629.85,463.85,21.77,4.43,154.89,0.0,-0.1985925495512955,0.0,48.72
2020,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,947.77,585.55,451.07,21.14,6.0600000000000005,117.46,0.0,-0.628043589306998,0.0,69.94999999999999
2021,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,933.75,594.04,423.75,21.94,4.76,107.73,0.0,-0.6206256381694976,0.0,55.14
2022,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,1077.11,702.0,458.9,25.0,5.59,145.21,0.0,-0.4433578954617456,0.0,58.45
2023,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,1076.73,641.31,504.27,17.94,8.209999999999999,106.91,0.0,-0.5529884949957901,0.0,77.26
2024,MARAS.HE,HEX,Martela Oyj,Professional & Commercial Services,Industrials,1007.05,657.88,499.15999999999997,15.44,7.96,13.64,0.0,-10.447947214076247,0.0,82.65
