Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2005,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,1972.25,0.0,414.94000000000005,0.0,0.65,141.59,0.0,10.994138004096333
2006,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,2941.4,0.0,139.26,0.0,0.0,260.73,0.0,10.747286464925402
2007,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,4226.2,0.0,782.5,0.0,19.14,508.27,0.0,6.737678792767624
2008,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,6226.41,0.0,490.33,0.0,0.0,897.37,0.0,6.392101362871502
2009,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,7309.19,0.0,396.06,0.0,20.93,1601.61,0.0,4.303294809597841
2010,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,8406.34,0.0,1734.28,0.0,40.16,1795.9,0.0,3.692800267275461
2011,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,10528.72,0.0,2032.98,0.0,70.25,1945.59,0.0,4.330557825646719
2012,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,12841.19,0.0,2877.49,0.0,118.84,2420.7,0.0,4.066947577147107
2013,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,15511.22,0.0,3550.99,0.0,256.7,2749.83,0.0,4.256092194790223
2014,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,19540.04,0.0,4787.4800000000005,0.0,302.65,2108.25,0.0,6.853983161389779
2015,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,22483.54,0.0,5372.280000000001,0.0,463.35,2965.31,0.0,5.614222459034639
2016,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,25950.55,0.0,6320.15,0.0,685.99,4048.98,10.77,4.666398177227662
2017,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,30948.26,0.0,8319.46,0.0,958.61,2098.41,12.33,10.266631607872121
2018,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,40265.5,0.0,9597.9,0.0,1159.5,1704.4,17.3,17.138932450484983
2019,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,43521.9,0.0,14739.0,0.0,3108.6,4124.9,23.8,6.18851688480729
2020,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,9095.7,0.0,6328.799999999999,0.0,2690.7,-6623.9,0.0,-0.011503796856836855
2021,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,5067.8,0.0,4542.2,0.0,682.3,3269.6,0.0,-0.04792635184732065
2022,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,18869.3,0.0,6139.7,0.0,650.0,4203.4,0.0,2.873768853785031
2023,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,25539.3,0.0,8068.0,0.0,848.0,5772.6,0.0,2.8796902608876414
2024,NAS.OL,Norwegian Air Shuttle ASA,Passenger Transportation Services,Industrials,35316.8,0.0,13707.5,0.0,1135.0,7240.7,0.0,2.827668595577776
