Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2015,NCAB.ST,STX,NCAB Group AB (publ),Semiconductors & Semiconductor Equipment,Information Technology,1147.61,834.45,0.0,0.0,-5.56,84.73,0.19
2016,NCAB.ST,STX,NCAB Group AB (publ),Semiconductors & Semiconductor Equipment,Information Technology,1196.73,839.54,0.0,0.0,-4.64,151.3,0.14
2017,NCAB.ST,STX,NCAB Group AB (publ),Semiconductors & Semiconductor Equipment,Information Technology,1355.72,946.86,0.0,0.0,-4.86,106.31,0.14
2018,NCAB.ST,STX,NCAB Group AB (publ),Semiconductors & Semiconductor Equipment,Information Technology,1514.24,1046.19,0.0,0.0,-3.99,289.24,0.2
2019,NCAB.ST,STX,NCAB Group AB (publ),Semiconductors & Semiconductor Equipment,Information Technology,1657.55,1140.36,0.0,0.0,-5.21,326.21,0.21
2020,NCAB.ST,STX,NCAB Group AB (publ),Semiconductors & Semiconductor Equipment,Information Technology,2164.88,1516.08,0.0,0.0,-10.42,730.63,0.24
2021,NCAB.ST,STX,NCAB Group AB (publ),Semiconductors & Semiconductor Equipment,Information Technology,3226.61,2250.38,0.0,0.0,-10.889999999999999,753.53,0.41
2022,NCAB.ST,STX,NCAB Group AB (publ),Semiconductors & Semiconductor Equipment,Information Technology,4235.45,2891.55,0.0,0.0,-23.21,1125.33,0.25
2023,NCAB.ST,STX,NCAB Group AB (publ),Semiconductors & Semiconductor Equipment,Information Technology,4068.52,2614.62,128.06,0.0,-59.99,1344.13,0.21
2024,NCAB.ST,STX,NCAB Group AB (publ),Semiconductors & Semiconductor Equipment,Information Technology,3675.46,2319.75,172.91,0.0,-64.71000000000001,1488.9,-0.01
