Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2007,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,788.67,674.29,46.12,0.0,0.94,146.89,0.0,0.45830213084621146
2008,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,1099.96,935.66,93.85,0.0,10.47,151.97,0.0,0.3946831611502275
2009,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,1437.09,1215.46,119.31,0.0,6.87,5.45,0.0,17.513761467889886
2010,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,1856.01,1503.11,241.35,0.0,10.98,299.92,0.0,0.3353227527340627
2011,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,2939.76,2419.56,396.26,0.0,18.31,360.88,0.0,0.2927011749057866
2012,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,3834.47,3429.51,1083.13,0.0,10.75,228.65,0.0,-3.0129892849333064
2013,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,4007.63,3471.63,575.18,0.0,0.0,649.07,0.0,-0.06036328901351156
2014,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,4606.59,3953.48,1294.28,0.0,4.32,1259.28,0.0,-0.5125865573978781
2015,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,4236.12,3631.57,1436.0700000000002,0.0,5.17,1260.9,0.0,-0.663565707034658
2016,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,3101.51,2546.02,1201.91,0.0,0.6799999999999999,972.5,0.0,-0.6653984575835473
2017,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,3289.18,2550.62,1414.36,0.0,0.1,1010.25,0.0,-0.6690423162583519
2018,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,3050.73,2317.95,782.33,0.0,16.85,970.49,0.0,-0.06841904604890296
2019,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,1351.39,1036.02,379.03,0.0,1.77,833.11,0.0,-0.07853704792884475
2020,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,1426.84,1110.58,368.45,0.0,2.66,260.84,0.0,-0.2102821653120687
2021,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,1431.55,791.34,680.0,0.0,6.91,199.14,0.0,-0.23450838606005864
2022,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,1234.24,696.17,590.79,0.0,12.55,125.75,0.0,-0.5190457256461225
2023,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,1055.79,550.29,492.57,0.0,17.32,179.81,0.0,-0.024414659918803143
2024,NELLY.ST,Nelly Group AB (publ),Software & IT Services,Information Technology,1112.9,521.62,496.91,0.0,17.69,243.76,0.0,0.31457170987856936
