Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2003,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,1652.16,0.0,525.87,0.0,0.0,584.8,0.0
2004,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,2130.89,0.0,716.94,0.0,-29.91,824.24,7.49
2005,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,2664.45,0.0,963.41,0.0,-41.89,963.03,8.41
2006,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,3092.22,0.0,1144.79,0.0,-55.69,1193.42,0.0
2007,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,3667.82,0.0,1359.49,0.0,-91.7,1199.52,10.01
2008,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,3981.49,0.0,1570.87,0.0,-124.79,1598.74,31.92
2009,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,3420.31,0.0,1399.5900000000001,0.0,-39.67,1435.04,27.11
2010,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,3590.7,0.0,1365.03,0.0,-24.69,1655.75,21.43
2011,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,3693.42,0.0,1435.12,0.0,-46.12,1794.94,21.0
2012,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,3678.49,2076.19,1477.78,0.0,-53.550000000000004,1655.82,20.29
2013,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,3652.85,1964.78,1399.9,0.0,-54.87,1959.27,22.52
2014,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,3925.65,2132.03,1524.11,0.0,-38.95,2287.46,17.83
2015,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,4746.78,2606.44,1852.55,0.0,-64.53999999999999,2607.62,23.02
2016,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,5142.6,2775.89,1943.88,0.0,-60.2,2650.17,21.43
2017,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,5420.12,2922.57,2003.71,0.0,-52.58,3008.54,22.61
2018,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,5890.95,3145.97,2246.9700000000003,0.0,-40.36,3332.56,18.74
2019,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,6424.28,3444.09,2300.96,0.0,-70.16,3520.36,15.28
2020,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,6242.01,3542.78,2004.28,0.0,-66.63,4014.95,10.96
2021,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,6733.43,3497.0,2089.4,0.0,-125.17,4449.24,0.88
2022,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,8402.7,4245.63,2542.21,0.0,-50.36,5543.49,1.04
2023,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,9467.97,4707.86,3001.55,0.0,-134.57,6503.0,1.21
2024,NEWAb.ST,STX,New Wave Group AB,Textiles & Apparel,Other,9690.66,4904.67,3233.34,0.0,-139.23,7419.15,0.82
