Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2012,ODLO.OL,Odfjell Drilling Ltd,Oil & Gas Related Equipment and Services,Energy,6359.99,0.0,5233.990000000001,0.0,371.89,6261.29,160.1,0.11743719039024246,0.0,856.63
2013,ODLO.OL,Odfjell Drilling Ltd,Oil & Gas Related Equipment and Services,Energy,6898.1,0.0,5575.33,0.0,332.22,6857.04,0.0,0.1444573751939613,0.0,853.32
2014,ODLO.OL,Odfjell Drilling Ltd,Oil & Gas Related Equipment and Services,Energy,6860.38,0.0,5600.22,0.0,321.14,8337.81,0.0,0.11262189951558021,0.0,890.59
2015,ODLO.OL,Odfjell Drilling Ltd,Oil & Gas Related Equipment and Services,Energy,7472.91,0.0,5978.0599999999995,0.0,502.19,6996.91,0.0,0.14187119742857923,0.0,1308.36
2016,ODLO.OL,Odfjell Drilling Ltd,Oil & Gas Related Equipment and Services,Energy,5519.6,0.0,4567.09,0.0,513.65,6236.66,0.0,0.07036779301741641,0.0,1433.42
2017,ODLO.OL,Odfjell Drilling Ltd,Oil & Gas Related Equipment and Services,Energy,5473.23,0.0,4637.82,0.0,542.53,6295.24,0.0,0.04652404038606946,0.0,1334.39
2018,ODLO.OL,Odfjell Drilling Ltd,Oil & Gas Related Equipment and Services,Energy,5685.99,0.0,4902.01,0.0,556.55,8843.2,0.0,0.02571806585851271,0.0,1307.62
2019,ODLO.OL,Odfjell Drilling Ltd,Oil & Gas Related Equipment and Services,Energy,7242.53,0.0,5964.5599999999995,0.0,776.14,9325.98,0.0,0.05380989450974592,0.0,1629.33
2020,ODLO.OL,Odfjell Drilling Ltd,Oil & Gas Related Equipment and Services,Energy,8749.63,0.0,6736.54,0.0,623.43,10275.19,5.46,0.13517238695996844,0.0,1919.45
2021,ODLO.OL,Odfjell Drilling Ltd,Oil & Gas Related Equipment and Services,Energy,4917.17,0.0,4059.4900000000002,0.0,424.09,11168.43,0.0,0.03882282469424976,0.0,1301.23
2022,ODLO.OL,Odfjell Drilling Ltd,Oil & Gas Related Equipment and Services,Energy,6240.02,0.0,4950.700000000001,0.0,472.68,11839.07,0.0,0.06897839103916098,0.0,1669.77
2023,ODLO.OL,Odfjell Drilling Ltd,Oil & Gas Related Equipment and Services,Energy,7728.87,0.0,6221.08,0.0,710.11,14128.33,0.0,0.05645960987604338,0.0,1958.33
2024,ODLO.OL,Odfjell Drilling Ltd,Oil & Gas Related Equipment and Services,Energy,8327.51,0.0,6717.0199999999995,0.0,697.27,15948.35,0.0,0.05726109597544578,0.0,2095.04
