Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,1290.29,840.28,253.24,0.0,2.2,388.09,0.0,0.5013527789945631
2005,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,1180.12,776.41,298.59000000000003,0.0,1.64,405.85,0.0,0.2549710484169025
2006,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,1262.09,819.26,320.83,0.0,2.09,583.37,0.0,0.20554707989783488
2007,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,1296.13,817.52,347.05,0.0,3.03,445.81,0.0,0.28830667773266666
2008,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,1430.51,902.19,373.43,0.0,3.68,525.62,0.0,0.28767931205053066
2009,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,1020.27,639.97,296.94,0.0,2.72,457.15,0.0,0.17639724379306565
2010,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,1201.27,759.95,302.0,0.0,2.27,515.21,0.0,0.26600803555831587
2011,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,1372.93,855.66,342.89,0.0,3.02,562.01,0.0,0.30490560666180333
2012,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,1402.06,874.63,362.07,0.0,3.27,589.55,0.0,0.27493851242473066
2013,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,1505.76,937.27,392.69,0.0,2.62,683.09,0.0,0.25352442577112827
2014,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,1733.82,1093.57,437.71,0.0,3.58,529.0,0.0,0.37610586011342156
2015,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,2133.74,1355.28,523.46,0.0,3.73,651.07,0.0,0.3859339241556204
2016,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,2339.41,1478.63,569.34,0.0,4.42,672.74,0.0,0.42664327972173455
2017,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,2652.2,1700.22,632.04,0.0,3.78,804.22,0.0,0.39312625898385994
2018,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,2914.2,1888.01,678.85,0.0,3.56,903.65,0.0,0.3804349028938193
2019,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,3069.72,1985.49,671.51,0.0,3.72,1000.02,0.0,0.40899182016359653
2020,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,3359.89,2189.54,692.29,0.0,4.609999999999999,1426.27,0.0,0.33194977108121176
2021,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,3782.13,2411.41,726.0999999999999,0.0,3.91,1338.56,0.0,0.47865616782213755
2022,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,4495.23,2870.67,844.21,0.0,8.84,1496.24,0.0,0.5156325188472434
2023,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,5120.5,3284.31,966.32,0.0,15.23,2004.67,0.0,0.4263245322172726
2024,OEMb.ST,OEM International AB,Diversified Industrial Goods Wholesale,Other,5327.95,3414.37,1034.9,0.0,13.73,2456.94,0.0,0.3520435989482852
