Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2011,OVARO.HE,Ovaro Kiinteistosijoitus Oyj,Real Estate Operations,Real Estate,8.02,3.59,1.49,0.0,1.85,94.07,0.0,0.011587115977463586,0.0,0.0
2012,OVARO.HE,Ovaro Kiinteistosijoitus Oyj,Real Estate Operations,Real Estate,13.23,5.97,2.66,0.0,3.46,110.15,0.0,0.010349523377212896,0.0,0.0
2013,OVARO.HE,Ovaro Kiinteistosijoitus Oyj,Real Estate Operations,Real Estate,22.41,12.1,5.43,0.0,4.27,415.07,0.0,0.0014696316284000318,0.0,0.0
2014,OVARO.HE,Ovaro Kiinteistosijoitus Oyj,Real Estate Operations,Real Estate,57.53,26.71,18.6,0.0,8.74,631.46,0.0,0.005511037912140118,0.0,0.0
2015,OVARO.HE,Ovaro Kiinteistosijoitus Oyj,Real Estate Operations,Real Estate,87.09,50.15,19.49,0.0,16.81,905.72,0.0,0.0007066201475069643,0.0,0.0
2016,OVARO.HE,Ovaro Kiinteistosijoitus Oyj,Real Estate Operations,Real Estate,110.13,63.09,23.31,0.0,25.75,880.83,0.0,-0.002293291554556505,0.0,0.0
2017,OVARO.HE,Ovaro Kiinteistosijoitus Oyj,Real Estate Operations,Real Estate,117.92,61.92,21.19,0.0,24.84,918.75,0.0,0.010851700680272112,0.0,0.0
2018,OVARO.HE,Ovaro Kiinteistosijoitus Oyj,Real Estate Operations,Real Estate,116.66,55.09,24.82,0.0,24.95,779.79,0.0,0.01513227920337526,0.0,0.0
2019,OVARO.HE,Ovaro Kiinteistosijoitus Oyj,Real Estate Operations,Real Estate,89.52,53.81,19.2,0.0,24.87,699.65,0.0,-0.01194883155863647,0.0,0.0
2020,OVARO.HE,Ovaro Kiinteistosijoitus Oyj,Real Estate Operations,Real Estate,82.4,54.4,19.41,0.0,20.16,617.47,0.0,-0.018737752441414145,0.0,0.0
2021,OVARO.HE,Ovaro Kiinteistosijoitus Oyj,Real Estate Operations,Real Estate,24.86,45.12,22.97,0.0,19.95,452.05,0.0,-0.13976330051985397,0.0,0.0
2022,OVARO.HE,Ovaro Kiinteistosijoitus Oyj,Real Estate Operations,Real Estate,49.03,33.41,15.29,0.0,2.31,469.42,0.0,-0.004217971113288727,0.0,0.0
2023,OVARO.HE,Ovaro Kiinteistosijoitus Oyj,Real Estate Operations,Real Estate,53.24,38.97,17.93,0.0,6.79,515.6,0.0,-0.020267649340574078,0.0,0.0
2024,OVARO.HE,Ovaro Kiinteistosijoitus Oyj,Real Estate Operations,Real Estate,56.09,33.87,25.59,0.0,12.99,526.17,0.0,-0.031092612653705064,0.0,0.0
