Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2007,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,5.87,0.0,16.03,14.73,0.3,5.24,0.0,0.8148854961832059
2008,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,11.69,7.94,0.0,49.3,0.0,-0.07606490872210953
2009,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,8.61,0.0,26.3,19.32,0.04,35.08,0.0,0.04532497149372859
2010,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,10.44,0.0,9.65,9.65,0.0,105.42,0.0,0.09903244166192372
2011,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,24.5,22.23,0.0,92.53,0.0,-0.024532584026802112
2012,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,34.120000000000005,31.26,0.0,69.71,0.0,-0.04102711232247889
2013,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,36.01,32.79,0.0,43.4,0.0,-0.07419354838709676
2014,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,43.77,39.34,0.18,9.11,0.0,-0.5060373216245884
2015,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,43.09,38.84,0.16,44.28,0.0,-0.09959349593495935
2016,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,43.51,39.22,0.0,13.09,0.0,-0.32773109243697474
2017,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,53.68,40.99,0.09,41.84,0.0,-0.3054493307839387
2018,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,54.11,40.34,0.15,339.95,0.0,-0.040947198117370194
2019,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,98.19,83.31,2.68,254.83,0.0,-0.0689086842208531
2020,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,89.49,75.57,0.91,189.24,0.0,-0.07836609596279857
2021,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,92.31,71.71,3.15,113.79,0.0,-0.20871781351612625
2022,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,61.2,44.76,0.36,57.4,0.0,-0.2926829268292684
2023,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,25.23,15.63,0.16,39.04,0.0,-0.25
2024,PCIB.OL,PCI Biotech Holding ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,24.69,16.06,0.1,23.45,0.0,-0.3722814498933903
