Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2004,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1488.84,950.42,142.77,0.0,-6.94,285.08,3.45
2005,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1810.88,1115.74,171.7,0.0,-12.219999999999999,410.3,0.0
2006,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1919.62,1211.58,182.32,0.0,-10.540000000000001,503.01,0.0
2007,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2483.8,1596.19,224.6,0.0,-12.33,606.8,0.0
2008,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2413.13,1672.49,252.25,0.0,-25.79,651.54,0.0
2009,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1280.32,837.65,192.76,0.0,-23.32,494.03,0.0
2010,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2100.11,1366.99,208.46999999999997,4.23,-15.58,585.38,0.0
2011,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2557.31,1668.59,253.83,3.84,14.2,607.82,0.0
2012,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2352.58,1524.22,380.64,3.24,-15.850000000000001,597.78,0.0
2013,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2442.73,1640.95,402.86,3.47,-15.440000000000001,563.24,0.0
2014,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,3266.02,2098.07,491.97,5.77,-17.21,777.49,0.0
2015,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,4131.79,2587.64,594.28,8.54,-16.12,1131.96,0.0
2016,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,4805.7,3120.9,681.23,7.62,-15.54,1360.16,0.0
2017,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,5379.37,3503.77,758.8599999999999,15.52,-21.35,1741.07,0.0
2018,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,5880.27,3798.91,914.6199999999999,24.34,-17.3,1983.07,0.0
2019,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,6570.51,4404.51,987.3600000000001,20.21,-20.19,2284.21,0.0
2020,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,6826.69,4486.59,891.74,19.92,-31.419999999999998,2671.83,0.0
2021,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,6181.06,4176.95,880.91,43.72,-16.57,2976.08,0.0
2022,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,7622.03,5299.63,1445.3600000000001,38.77,-29.869999999999997,3373.97,0.0
2023,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,9374.61,6097.22,1817.37,71.87,-77.47,3599.33,0.0
2024,PON1V.HE,HEX,Ponsse Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,8719.67,5525.75,1542.97,62.15,-60.53,3850.06,0.0
