Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2004,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,742.9,0.0,79.56,0.0,4.5,204.51,0.0
2005,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,800.42,0.0,76.96,0.0,3.45,201.93,0.0
2006,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,945.78,0.0,94.75999999999999,0.0,4.09,135.12,0.0
2007,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,1022.24,0.0,87.89,0.0,4.25,144.9,0.0
2008,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,928.96,0.0,89.72,0.0,4.53,126.54,0.0
2009,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,629.02,0.0,71.35,7.9,-3.87,115.22,0.0
2010,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,757.01,0.0,84.99,8.23,-4.53,145.16,0.0
2011,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,722.65,651.74,85.50999999999999,8.38,-5.35,140.05,0.0
2012,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,675.5,615.77,60.08,6.02,-5.33,153.06,0.0
2013,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,658.84,619.85,93.13999999999999,6.95,-4.24,149.0,0.0
2014,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,742.77,672.59,107.19000000000001,6.06,-4.41,191.99,0.0
2015,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,937.17,846.92,68.46000000000001,6.21,-3.63,226.58,0.0
2016,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,1111.57,963.5,80.23,6.68,-2.95,249.22,0.0
2017,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,1339.03,1156.11,85.41000000000001,7.65,-3.29,312.7,0.0
2018,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,1515.49,1320.51,88.59,7.59,-3.84,352.68,0.0
2019,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,1509.5,1313.89,95.48,7.82,-6.88,373.94,0.0
2020,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,1447.61,1313.84,112.68,7.98,-7.06,440.34,0.0
2021,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,2124.28,1834.14,117.96000000000001,7.92,-7.22,525.04,0.0
2022,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,2562.16,2292.13,128.35999999999999,6.46,-12.35,503.86,0.0
2023,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,2427.58,2166.72,131.87,0.0,-24.58,602.35,0.0
2024,PROFb.ST,STX,Profilgruppen AB,Metals & Mining,Materials,2310.41,2010.3,137.2,0.0,-23.49,676.08,0.0
