Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2004,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,36.23,1.14,23.85,12.06,0.0,36.06,0.0
2005,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,60.34,0.97,26.840000000000003,13.88,0.0,69.51,0.0
2006,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,60.02,0.74,30.47,15.12,0.0,107.51,0.0
2007,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,56.08,0.75,33.379999999999995,21.0,0.0,115.93,0.0
2008,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,53.62,0.57,36.76,24.96,0.0,133.77,0.0
2009,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,68.87,0.83,34.41,20.34,0.0,149.57,0.0
2010,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,98.87,0.08,41.760000000000005,21.81,0.0,170.72,0.0
2011,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,108.91,0.0,90.42999999999999,20.16,0.0,170.68,0.0
2012,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,156.49,2.6,135.4,67.6,-0.03,186.23,0.0
2013,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,184.54,5.47,205.01,81.88,-0.09,185.29,0.0
2014,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,262.0,10.68,193.85,87.33,-0.89,241.11,0.0
2015,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,380.15,22.65,279.41999999999996,97.06,-2.03,334.39,0.0
2016,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,521.88,26.39,316.59000000000003,91.53,-1.48,436.4,0.0
2017,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,566.57,35.49,383.25,101.0,-4.01,580.8,0.0
2018,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,587.37,52.46,479.59000000000003,138.31,-3.7300000000000004,641.58,0.0
2019,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,690.11,67.34,584.8299999999999,162.55,-6.34,661.49,0.0
2020,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,666.91,44.39,644.79,189.39,-5.88,725.04,0.0
2021,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,643.09,50.51,678.89,233.96,-6.050000000000001,612.15,0.0
2022,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,801.59,90.26,717.76,226.87,-10.91,618.56,0.0
2023,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,1017.33,106.07,818.71,236.61,-9.66,740.21,0.0
2024,RAYb.ST,STX,RaySearch Laboratories AB (publ),Healthcare Equipment & Supplies,Health Care,1212.29,101.18,889.97,273.96,-9.2,901.34,0.0
